"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","File_loc","Year","original","taxa_data.scientificNameAuthorship.i.","Title","EID","taxa_data.family.i.","taxa_data.ï..taxonID.i.","taxa_data.acceptedNameUsageID.i.","taxa_data.parentNameUsageID.i.","taxa_data.taxonomicStatus.i.","level"
"1","Nipaecoccus nipae","Animalia","Insecta","Hemiptera","10.1017/S0007485300010993","1977","Nipaecoccus nipae","Maskell 1893","Damage to coconut palms by Azteca sp. (Hymenoptera: Formicidae) and insecticidal control with bait, in Guyana","2-s2.0-84974133696","Pseudococcidae","322090",NA,"33374559","accepted name","1a"
"2","Pseudococcus solomonensis","Animalia","Insecta","Hemiptera","10.1071/AP04084","2005","Pseudococcus solomonensis","Williams 1960","Investigations into the seed and mealybug transmission of Taro bacilliform virus","2-s2.0-18044365255","Pseudococcidae","325056",NA,"33341621","accepted name","1a"
"3","Coelostomidia wairoensis","Animalia","Insecta","Hemiptera","10.1603/EN13292","2014","Coelostomidia wairoensis","Maskell 1884","Can alternative sugar sources buffer pollinators from nectar shortages?","2-s2.0-84916217451","Margarodidae","326451",NA,"33374478","accepted name","1a"
"4","Matsucoccus josephi","Animalia","Insecta","Hemiptera","10.1560/FNFR-JCUH-3EEA-0UGJ","2003","Matsucoccus josephi","Bodenheimer 1955","Controlled and open pollination between Pinus brutia (Ten.) and Pinus halepensis (Mill.) in Israel and hybrid performance","2-s2.0-0347568171","Margarodidae","327078",NA,"33374416","accepted name","1a"
"5","Parasaissetia nigra","Animalia","Insecta","Hemiptera","10.1007/s11829-012-9215-2","2013","Parasaissetia nigra","Nietner 1861","Invasive interactions: Can Argentine ants indirectly increase the reproductive output of a weed?","2-s2.0-84864345822","Coccidae","330543",NA,"33374206","accepted name","1a"
"6","Aspidiotus destructor","Animalia","Insecta","Hemiptera","10.1017/S0007485300010993","1977","Aspidiotus destructor","Signoret 1869","Damage to coconut palms by Azteca sp. (Hymenoptera: Formicidae) and insecticidal control with bait, in Guyana","2-s2.0-84974133696","Diaspididae","330561",NA,"33338383","accepted name","1a"
"7","Aspidiotus destructor","Animalia","Insecta","Hemiptera","10.1017/S0007485300010993","1977","Aspidiotus destructor","Cockerell in Fernald 1903","Damage to coconut palms by Azteca sp. (Hymenoptera: Formicidae) and insecticidal control with bait, in Guyana","2-s2.0-84974133696","Diaspididae","330576",NA,"33338383","accepted name","1a"
"8","Aulacaspis yasumatsui","Animalia","Insecta","Hemiptera","","2012","Aulacaspis yasumatsui","Takagi 1977","Seed germination and storage of Cycas taitungensis (cycadaceae)","2-s2.0-84873352818","Diaspididae","331405",NA,"33340771","accepted name","1a"
"9","Ixodes scapularis","Animalia","Arachnida","Ixodida","10.1603/ME12124","2013","Ixodes scapularis","Say 1821","Effect of a botanical acaricide on ixodes scapularis (Acari: Ixodidae) and nontarget arthropods","2-s2.0-84872714336","Ixodidae","1412088",NA,"33305614","accepted name","1a"
"10","Idarnes carme","Animalia","Insecta","Hymenoptera","10.1080/00222933.2016.1193646","2016","Idarnes carme","Walker 1843","First record of a non-pollinating fig wasp (Hymenoptera: Sycophaginae) from Dominican amber, with estimation of the size of its host figs","2-s2.0-84978054775","Agaonidae","4529982",NA,"33311947","accepted name","1a"
"11","Liporrhopalum gibbosae","Animalia","Insecta","Hymenoptera","10.1111/j.1744-7917.2009.01265.x","2009","Liporrhopalum gibbosae","Hill 1967","Disturbance effects on community structure of Ficus tinctoria fig wasps in Xishuangbanna, China: Implications for the fig/fig wasp mutualism","2-s2.0-70349438913","Agaonidae","4530409",NA,"33312025","accepted name","1a"
"12","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1111/j.1365-2311.2011.01284.x","2011","Liporrhopalum tentacularis","Grandi 1926","Sexual differences in the attractiveness of figs to pollinators: Females stay attractive for longer","2-s2.0-79960290716","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"13","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1098/rspb.2008.0136","2008","Liporrhopalum tentacularis","Grandi 1926","The mechanism of sex ratio adjustment in a pollinating fig wasp","2-s2.0-44949171580","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"14","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","","2008","Liporrhopalum tentacularis","Grandi 1926","The benefits of pollination for a fig wasp","2-s2.0-41549140233","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"15","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1111/j.1365-2311.2007.00906.x","2007","Liporrhopalum tentacularis","Grandi 1926","Reconstruction of fig wasp mating structure: How many mothers share a fig?","2-s2.0-34848867268","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"16","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1111/j.1420-9101.2005.00937.x","2005","Liporrhopalum tentacularis","Grandi 1926","Pollinating fig wasps: Genetic consequences of island recolonization","2-s2.0-28444458553","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"17","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1007/s10905-005-3695-1","2005","Liporrhopalum tentacularis","Grandi 1926","Do fig wasps produce mixed paternity clutches?","2-s2.0-18744398806","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"18","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1111/j.0307-6946.2005.00674.x","2005","Liporrhopalum tentacularis","Grandi 1926","Putting your sons in the right place: The spatial distribution of fig wasp offspring inside figs","2-s2.0-18144370827","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"19","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1046/j.1420-9101.2003.00623.x","2003","Liporrhopalum tentacularis","Grandi 1926","Foundress re-emergence and fig permeability in fig tree-wasp mutualisms","2-s2.0-0242542715","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"20","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1046/j.1471-8286.2002.00319.x","2002","Liporrhopalum tentacularis","Grandi 1926","Development and characterization of microsatellite markers for Liporrhopalum tentacularis Grandi, the pollinator fig wasp of Ficus montana Blume","2-s2.0-0036898774","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"21","Liporrhopalum tentacularis","Animalia","Insecta","Hymenoptera","10.1006/anbe.2002.3034","2002","Liporrhopalum tentacularis","Grandi 1926","Quantitative tests of sex ratio models in a pollinating fig wasp","2-s2.0-0036379316","Agaonidae","4530420",NA,"33312025","accepted name","1a"
"22","Melittobia acasta","Animalia","Insecta","Hymenoptera","10.3897/jhr.51.9727","2016","Melittobia acasta","Walker 1839","Host-Abociated volatiles attract parasitoids of a native solitary bee, Osmia lignaria Say (Hymenoptera, Megachilidae)","2-s2.0-84988977629","Eulophidae","4530853",NA,"33312076","accepted name","1a"
"23","Melittobia acasta","Animalia","Insecta","Hymenoptera","10.1111/j.1748-5967.2011.00361.x","2012","Melittobia acasta","Walker 1839","Parasitism and oviposition of Melittobia acasta on Bombus terrestris: Impact of larval overwintering and host status on pupation and adult emergence","2-s2.0-84858607347","Eulophidae","4530853",NA,"33312076","accepted name","1a"
"24","Melittobia chalybii","Animalia","Insecta","Hymenoptera","10.4039/Ent101418-4","1969","Melittobia chalybii","Ashmead 1892","Chalcidoid (Hymenoptera) parasites of the alfalfa leaf-cutter bee, megachile rotundata, in Canada","2-s2.0-0042822750","Eulophidae","4530891",NA,"33312076","accepted name","1a"
"25","Megastigmus spermotrophus","Animalia","Insecta","Hymenoptera","10.1007/s00497-006-0039-z","2007","Megastigmus spermotrophus","Wachtl 1893","Parasitism of seed of Douglas fir (Pseudotsuga menziesii) by the seed chalcid, Megastigmus spermotrophus, and its influence on seed hormone physiology","2-s2.0-33847206129","Torymidae","4530991",NA,"33312062","accepted name","1a"
"26","Megastigmus albifrons","Animalia","Insecta","Hymenoptera","10.3958/059.037.0311","2012","Megastigmus albifrons","Walker 1869","Factors affecting seed production of pinus engelmannii carr in seed stands in Durango State, Mexico","2-s2.0-84867357728","Torymidae","4531044",NA,"33312062","accepted name","1a"
"27","Meselatus bicolor","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2014.11.004","2015","Meselatus bicolor","Chen 1999","The impact of fig wasps (Chalcidoidea), new to the Mediterranean, on reproduction of an invasive fig tree Ficus microcarpa (Moraceae) and their potential for its biological control","2-s2.0-84912026588","Agaonidae","4531308",NA,"33312137","accepted name","1a"
"28","Meselatus bicolor","Animalia","Insecta","Hymenoptera","10.5846/stxb201204120514","2012","Meselatus bicolor","Chen 1999","Community structure and dynamics of fig wasps in syconia of Ficus microcarpa Linn. f. in Fuzhou","2-s2.0-84868314709","Agaonidae","4531308",NA,"33312137","accepted name","1a"
"29","Monodontomerus obscurus","Animalia","Insecta","Hymenoptera","10.4039/Ent101418-4","1969","Monodontomerus obscurus","Westwood 1833","Chalcidoid (Hymenoptera) parasites of the alfalfa leaf-cutter bee, megachile rotundata, in Canada","2-s2.0-0042822750","Torymidae","4531790",NA,"33312154","accepted name","1a"
"30","Monodontomerus torchioi","Animalia","Insecta","Hymenoptera","10.3897/jhr.51.9727","2016","Monodontomerus torchioi","Grissell 2000","Host-Abociated volatiles attract parasitoids of a native solitary bee, Osmia lignaria Say (Hymenoptera, Megachilidae)","2-s2.0-84988977629","Torymidae","4532347",NA,"33312154","accepted name","1a"
"31","Nasonia vitripennis","Animalia","Insecta","Hymenoptera","10.1038/srep42756","2017","Nasonia vitripennis","Walker 1836","Sublethal doses of imidacloprid disrupt sexual communication and host finding in a parasitoid wasp","2-s2.0-85012952392","Pteromalidae","4532418",NA,"33312253","accepted name","1a"
"32","Nasonia vitripennis","Animalia","Insecta","Hymenoptera","10.1016/j.cbpb.2009.08.008","2009","Nasonia vitripennis","Walker 1836","Quercetin-metabolizing CYP6AS enzymes of the pollinator Apis mellifera (Hymenoptera: Apidae)","2-s2.0-72649098354","Pteromalidae","4532418",NA,"33312253","accepted name","1a"
"33","Odontofroggatia corneri","Animalia","Insecta","Hymenoptera","10.5733/afin.054.0208","2013","Odontofroggatia corneri","Wiebes 1980","Fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) associated with asian fig trees (Ficus, Moraceae) in southern Africa: Asian followers and African colonists","2-s2.0-84884772436","Agaonidae","4532601",NA,"33318389","accepted name","1a"
"34","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.1080/09583157.2016.1214862","2016","Odontofroggatia galili","Wiebes 1980","Non-pollinator fig wasp impact on the reproductive success of an invasive fig tree: why so little?","2-s2.0-84988485944","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"35","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2014.11.004","2015","Odontofroggatia galili","Wiebes 1980","The impact of fig wasps (Chalcidoidea), new to the Mediterranean, on reproduction of an invasive fig tree Ficus microcarpa (Moraceae) and their potential for its biological control","2-s2.0-84912026588","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"36","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.1111/een.12201","2015","Odontofroggatia galili","Wiebes 1980","Between-species facilitation by male fig wasps in shared figs","2-s2.0-84935684511","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"37","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.5733/afin.054.0208","2013","Odontofroggatia galili","Wiebes 1980","Fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) associated with asian fig trees (Ficus, Moraceae) in southern Africa: Asian followers and African colonists","2-s2.0-84884772436","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"38","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.5846/stxb201204120514","2012","Odontofroggatia galili","Wiebes 1980","Community structure and dynamics of fig wasps in syconia of Ficus microcarpa Linn. f. in Fuzhou","2-s2.0-84868314709","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"39","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","10.5846/stxb201204120514","2012","Odontofroggatia galili","Wiebes 1980","Community structure and dynamics of fig wasps in syconia of Ficus microcarpa Linn. f. in Fuzhou","2-s2.0-84868314709","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"40","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","","2005","Odontofroggatia galili","Wiebes 1980","A recent expansion of its Queensland range by Eupristina verticillata, waterston (hymenoptera, agaonidae, agaoninae), the pollinator of Ficus microcarpa l.f. (Moraceae)","2-s2.0-33748868378","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"41","Odontofroggatia galili","Animalia","Insecta","Hymenoptera","","1996","Odontofroggatia galili","Wiebes 1980","Relationship between a mutualist and a parasite of the laurel fig, Ficus microcarpa L.","2-s2.0-0030302012","Agaonidae","4532603",NA,"33318389","accepted name","1a"
"42","Odontofroggatia ishii","Animalia","Insecta","Hymenoptera","10.3906/zoo-1111-3","2012","Odontofroggatia ishii","Wiebes 1980","Occurrence of fig wasps (Hymenoptera: Chalcidoidea) in Ficus caria and F. microcarpa in Hatay, Turkey","2-s2.0-84865816134","Agaonidae","4532604",NA,"33318389","accepted name","1a"
"43","Anidarnes bicolor","Animalia","Insecta","Hymenoptera","","1999","Anidarnes bicolor","Ashmead 1900","Natural history of Anidarnes bicolor (Hymenoptera: Agaonidae), a galler of the Florida strangling fig (Ficus aurea)","2-s2.0-0032881487","Agaonidae","4532714",NA,"33319092","accepted name","1a"
"44","Neosycophila omeomorpha","Animalia","Insecta","Hymenoptera","10.1111/j.1744-7917.2009.01265.x","2009","Neosycophila omeomorpha","Grandi 1923","Disturbance effects on community structure of Ficus tinctoria fig wasps in Xishuangbanna, China: Implications for the fig/fig wasp mutualism","2-s2.0-70349438913","Agaonidae","4532784",NA,"33324036","accepted name","1a"
"45","Oobius agrili","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2016.06.010","2016","Oobius agrili","Zhang  Huang 2005","Establishment of classical biological control targeting emerald ash borer is facilitated by use of insecticides, with little effect on native arthropod communities","2-s2.0-84977117270","Encyrtidae","4533499",NA,"33319965","accepted name","1a"
"46","Otitesella ako","Animalia","Insecta","Hymenoptera","10.5846/stxb201305271204","2013","Otitesella ako","Ishii 1934","Community structure and species biodiversity of fig wasps in syconia of Ficus superba Miq. var. japonica Miq. in Fuzhou","2-s2.0-84885439238","Agaonidae","4533937",NA,"33327269","accepted name","1a"
"47","Otitesella ako","Animalia","Insecta","Hymenoptera","10.5846/stxb201305271204","2013","Otitesella ako","Ishii 1934","Community structure and species biodiversity of fig wasps in syconia of Ficus superba Miq. var. japonica Miq. in Fuzhou","2-s2.0-84885439238","Agaonidae","4533937",NA,"33327269","accepted name","1a"
"48","Otitesella ako","Animalia","Insecta","Hymenoptera","10.5846/stxb201305271204","2013","Otitesella ako","Ishii 1934","Community structure and species biodiversity of fig wasps in syconia of Ficus superba Miq. var. japonica Miq. in Fuzhou","2-s2.0-84885439238","Agaonidae","4533937",NA,"33327269","accepted name","1a"
"49","Otitesella pseudoserrata","Animalia","Insecta","Hymenoptera","10.1007/s10682-006-0012-1","2006","Otitesella pseudoserrata","van Noort 1997","Adaptive non-Fisherian sex ratios in a patchily distributed population with outbreeding","2-s2.0-33746144813","Agaonidae","4533947",NA,"33327269","accepted name","1a"
"50","Otitesella pseudoserrata","Animalia","Insecta","Hymenoptera","10.1046/j.1461-0248.2003.00441.x","2003","Otitesella pseudoserrata","van Noort 1997","Different male morphs of Otitesella pseudoserrata fig wasps have equal fitness but are not determined by different alleles","2-s2.0-0037396926","Agaonidae","4533947",NA,"33327269","accepted name","1a"
"51","Otitesella uluzi","Animalia","Insecta","Hymenoptera","10.5733/afin.054.0208","2013","Otitesella uluzi","Compton 1988","Fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) associated with asian fig trees (Ficus, Moraceae) in southern Africa: Asian followers and African colonists","2-s2.0-84884772436","Agaonidae","4533956",NA,"33327269","accepted name","1a"
"52","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1038/hdy.2016.125","2017","Pleistodontes imperialis","Saunders 1882","Local coexistence and genetic isolation of three pollinator species on the same fig tree species","2-s2.0-85009210886","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"53","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1111/mec.13445","2016","Pleistodontes imperialis","Saunders 1882","One step ahead: A parasitoid disperses farther and forms a wider geographic population than its fig wasp host","2-s2.0-84958153183","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"54","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1071/ZO15011","2015","Pleistodontes imperialis","Saunders 1882","Characterisation of microsatellite markers for fig-pollinating wasps in the Pleistodontes imperialis species complex","2-s2.0-84930370471","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"55","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1186/1471-2148-6-83","2006","Pleistodontes imperialis","Saunders 1882","Deep mtDNA divergences indicate cryptic species in a fig-pollinating wasp","2-s2.0-33750494554","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"56","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1006/anbe.2000.1522","2000","Pleistodontes imperialis","Saunders 1882","Intersexual sibling interactions and male benevolence in a fig wasp","2-s2.0-0033672953","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"57","Pleistodontes imperialis","Animalia","Insecta","Hymenoptera","10.1080/0028825X.1996.10412697","1996","Pleistodontes imperialis","Saunders 1882","The naturalisation of banyan figs (ficus spp., moraceae) and their pollinating wasps (Hymenoptera: Agaonidae) in New Zealand","2-s2.0-0000101789","Agaonidae","4534479",NA,"33304765","accepted name","1a"
"58","Platyscapa awekei","Animalia","Insecta","Hymenoptera","10.1111/j.1558-5646.2010.01116.x","2011","Platyscapa awekei","Wiebes 1977","Testing models of facultative sex ratio adjustment in the pollinating fig wasp Platyscapa awekei","2-s2.0-78650927427","Agaonidae","4534658",NA,"33320536","accepted name","1a"
"59","Platyscapa awekei","Animalia","Insecta","Hymenoptera","10.1038/hdy.2009.2","2009","Platyscapa awekei","Wiebes 1977","Outbreeding and possibly inbreeding depression in a pollinating fig wasp with a mixed mating system","2-s2.0-63149182581","Agaonidae","4534658",NA,"33320536","accepted name","1a"
"60","Platyscapa awekei","Animalia","Insecta","Hymenoptera","10.1111/j.1471-8286.2006.01242.x","2006","Platyscapa awekei","Wiebes 1977","Isolation of six microsatellite loci in the pollinating fig wasp, Platyscapa awekei","2-s2.0-33646879427","Agaonidae","4534658",NA,"33320536","accepted name","1a"
"61","Platyscapa awekei","Animalia","Insecta","Hymenoptera","10.1098/rsbl.2005.0370","2006","Platyscapa awekei","Wiebes 1977","Kin competition promotes dispersal in a male pollinating fig wasp","2-s2.0-33644893342","Agaonidae","4534658",NA,"33320536","accepted name","1a"
"62","Platyscapa awekei","Animalia","Insecta","Hymenoptera","","2006","Platyscapa awekei","Wiebes 1977","The species richness of fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) in Yemen","2-s2.0-84872586710","Agaonidae","4534658",NA,"33320536","accepted name","1a"
"63","Platyscapa coronata","Animalia","Insecta","Hymenoptera","10.5846/stxb201101140076","2012","Platyscapa coronata","Grandi 1928","Structure and biodiversity of fig wasp community inside syconia of Ficus virens Ait. var. sublanceolata (Miq.) Corner in Fuzhou","2-s2.0-84859302384","Agaonidae","4534663",NA,"33320536","accepted name","1a"
"64","Platyscapa coronata","Animalia","Insecta","Hymenoptera","10.5846/stxb201101140076","2012","Platyscapa coronata","Grandi 1928","Structure and biodiversity of fig wasp community inside syconia of Ficus virens Ait. var. sublanceolata (Miq.) Corner in Fuzhou","2-s2.0-84859302384","Agaonidae","4534663",NA,"33320536","accepted name","1a"
"65","Platyscapa ishiiana","Animalia","Insecta","Hymenoptera","10.5846/stxb201305271204","2013","Platyscapa ishiiana","Grandi 1923","Community structure and species biodiversity of fig wasps in syconia of Ficus superba Miq. var. japonica Miq. in Fuzhou","2-s2.0-84885439238","Agaonidae","4534673",NA,"33320536","accepted name","1a"
"66","Platyscapa quadraticeps","Animalia","Insecta","Hymenoptera","10.14393/BJ-v33n1a2017-34177","2017","Platyscapa quadraticeps","Mayr 1885","Naturalization of the bodhi fig tree (Ficus religiosa L. - Moraceae) in Brazil [Naturalização da figueira-dos-pagodes (Ficus religiosa L. - Moraceae) no Brasil]","2-s2.0-85012195624","Agaonidae","4534676",NA,"33320536","accepted name","1a"
"67","Platyscapa quadraticeps","Animalia","Insecta","Hymenoptera","10.5733/afin.054.0208","2013","Platyscapa quadraticeps","Mayr 1885","Fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) associated with asian fig trees (Ficus, Moraceae) in southern Africa: Asian followers and African colonists","2-s2.0-84884772436","Agaonidae","4534676",NA,"33320536","accepted name","1a"
"68","Platyscapa soraria","Animalia","Insecta","Hymenoptera","","2006","Platyscapa soraria","Wiebes 1980","The species richness of fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) in Yemen","2-s2.0-84872586710","Agaonidae","4534678",NA,"33320536","accepted name","1a"
"69","Pleistodontes cuneatus","Animalia","Insecta","Hymenoptera","10.1071/SB00028","2001","Pleistodontes cuneatus","Wiebes 1990","A chequered history: The taxonomy of Ficus platypoda and F. leucotricha (Moraceae: Urostigma sect. Malvanthera) unravelled","2-s2.0-0035975040","Agaonidae","4534688",NA,"33304765","accepted name","1a"
"70","Pleistodontes froggatti","Animalia","Insecta","Hymenoptera","10.1071/SB99026","2001","Pleistodontes froggatti","Mayr 1906","Figs, wasps and species concepts: A re-evaluation of the infraspecific taxa of Ficus macrophylla (Moraceae: Urostigma sect. Malvanthera)","2-s2.0-0035826220","Agaonidae","4534690",NA,"33304765","accepted name","1a"
"71","Pleistodontes froggatti","Animalia","Insecta","Hymenoptera","10.1006/anbe.2001.1779","2001","Pleistodontes froggatti","Mayr 1906","Male mating tactics and lethal combat in the nonpollinating fig wasp Sycoscapter australis","2-s2.0-0034808101","Agaonidae","4534690",NA,"33304765","accepted name","1a"
"72","Pleistodontes greenwoodi","Animalia","Insecta","Hymenoptera","10.1071/SB99029","2001","Pleistodontes greenwoodi","Grandi 1928","Figuring out the figs: The ficus obliqua - Ficus rubiginosa complex (Moraceae: Urostigma sect. Malvanthera)","2-s2.0-0035826157","Agaonidae","4534693",NA,"33304765","accepted name","1a"
"73","Pegoscapus hoffmeyeri","Animalia","Insecta","Hymenoptera","10.1111/j.1365-294X.2004.02158.x","2004","Pegoscapus hoffmeyeri","Grandi 1934","Inbreeding and population structure in two pairs of cryptic fig wasp species","2-s2.0-2542502820","Agaonidae","4534752",NA,"33320184","accepted name","1a"
"74","Pegoscapus hoffmeyeri","Animalia","Insecta","Hymenoptera","10.1046/j.1471-8286.2002.00268.x","2002","Pegoscapus hoffmeyeri","Grandi 1934","Species-diagnostic microsatellite loci for the fig wasp genus Pegoscapus","2-s2.0-0036897717","Agaonidae","4534752",NA,"33320184","accepted name","1a"
"75","Pegoscapus jimenezi","Animalia","Insecta","Hymenoptera","","1995","Pegoscapus jimenezi","Grandi 1919","Hurricane Andrew and a Florida fig pollination mutualism: resilience of an obligate interaction","2-s2.0-0029501270","Agaonidae","4534756",NA,"33320184","accepted name","1a"
"76","Pegoscapus mexicanus","Animalia","Insecta","Hymenoptera","","2001","Pegoscapus mexicanus","Ashmead 1904","Schistonchus aureus n. sp. and S. laevigatus n. sp. (Aphelenchoididae): Associates of native Floridian Ficus spp. and their Pegoscapus pollinators (Agaonidae)","2-s2.0-0035540927","Agaonidae","4534760",NA,"33320184","accepted name","1a"
"77","Pegoscapus mexicanus","Animalia","Insecta","Hymenoptera","","1999","Pegoscapus mexicanus","Ashmead 1904","Natural history of Anidarnes bicolor (Hymenoptera: Agaonidae), a galler of the Florida strangling fig (Ficus aurea)","2-s2.0-0032881487","Agaonidae","4534760",NA,"33320184","accepted name","1a"
"78","Pegoscapus silvestrii","Animalia","Insecta","Hymenoptera","","2009","Pegoscapus silvestrii","Grandi 1919","Sex ratio in two species of Pegoscapus wasps (Hymenoptera: Agaonidae) that develop in figs: Can wasps do mathematics, or play sex ratio games?","2-s2.0-77949890002","Agaonidae","4534764",NA,"33320184","accepted name","1a"
"79","Pegoscapus silvestrii","Animalia","Insecta","Hymenoptera","","1991","Pegoscapus silvestrii","Grandi 1919","The nonpollinating wasp fauna of Ficus pertusa: exploitation of a mutualism?","2-s2.0-0026273537","Agaonidae","4534764",NA,"33320184","accepted name","1a"
"80","Pegoscapus silvestrii","Animalia","Insecta","Hymenoptera","10.2307/1941287","1988","Pegoscapus silvestrii","Grandi 1919","Mutualism, antagonism, and the fig-pollinator interaction","2-s2.0-0024180801","Agaonidae","4534764",NA,"33320184","accepted name","1a"
"81","Philotrypesis caricae","Animalia","Insecta","Hymenoptera","10.3906/zoo-1111-3","2012","Philotrypesis caricae","Linnaeus 1762","Occurrence of fig wasps (Hymenoptera: Chalcidoidea) in Ficus caria and F. microcarpa in Hatay, Turkey","2-s2.0-84865816134","Agaonidae","4534845",NA,"33320142","accepted name","1a"
"82","Philotrypesis caricae","Animalia","Insecta","Hymenoptera","","1996","Philotrypesis caricae","Linnaeus 1762","Relationship of Schistonchus caprifici (Aphelenchoididae) with fig inflorescences, the fig pollinator Blastophaga psenes, and its cleptoparasite Philotrypesis caricae [Relations entre Schistonchus caprifici (Aphelenchoididae), les inflorescences du figuier, le pollinisateur Blastophaga psenes et le parasitoide Philotrypesis caricae]","2-s2.0-0030501431","Agaonidae","4534845",NA,"33320142","accepted name","1a"
"83","Philotrypesis emeryi","Animalia","Insecta","Hymenoptera","10.3906/zoo-1111-3","2012","Philotrypesis emeryi","Grandi 1926","Occurrence of fig wasps (Hymenoptera: Chalcidoidea) in Ficus caria and F. microcarpa in Hatay, Turkey","2-s2.0-84865816134","Agaonidae","4534850",NA,"33320142","accepted name","1a"
"84","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","10.1093/beheco/aru191","2015","Pegoscapus tonduzi","Grandi 1919","Mortal combat and competition for oviposition sites in female pollinating fig wasps","2-s2.0-84928408032","Agaonidae","4534946",NA,"33320184","accepted name","1a"
"85","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","","2009","Pegoscapus tonduzi","Grandi 1919","Sex ratio in two species of Pegoscapus wasps (Hymenoptera: Agaonidae) that develop in figs: Can wasps do mathematics, or play sex ratio games?","2-s2.0-77949890002","Agaonidae","4534946",NA,"33320184","accepted name","1a"
"86","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","10.1590/S1516-89132008000400013","2008","Pegoscapus tonduzi","Grandi 1919","Mating strategies and aggressive combat in wingless neotropical fig wasp males","2-s2.0-55249091343","Agaonidae","4534946",NA,"33320184","accepted name","1a"
"87","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","","2006","Pegoscapus tonduzi","Grandi 1919","Effect of local mate competition on fig wasp sex ratios","2-s2.0-33746929544","Agaonidae","4534946",NA,"33320184","accepted name","1a"
"88","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","10.1111/j.0030-1299.2005.13234.x","2005","Pegoscapus tonduzi","Grandi 1919","Non-pollinating wasps distort the sex ratio of pollinating fig wasps","2-s2.0-24744447423","Agaonidae","4534946",NA,"33320184","accepted name","1a"
"89","Pegoscapus tonduzi","Animalia","Insecta","Hymenoptera","","2004","Pegoscapus tonduzi","Grandi 1919","Gynandromorphism in pollinating fig wasps (Hymenoptera: Agaonidae)","2-s2.0-4043082806","Agaonidae","4534946",NA,"33320184","accepted name","1a"
