Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Gusman A.B., Gottsberger G.","Differences in floral morphology, floral nectar constituents, carotenoids, and flavonoids in petals of orange and yellow pyrostegia venusta (Bignoniaceae) flowers",1996,Phyton - Annales Rei Botanicae,36,2,,161,171,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2842551453&partnerID=40&md5=b2446b2bc5d68dadf7d0c38ff0117ef5,"Departamento de Biologia, Faculdade de Filosofia, Universidade de São Paulo, BR-14040-901 Ribeirao Preto, S.P., Brazil; Abteilung Spezielle Botanik, Universität Ulm, Albert-Einstein-Allee 11, D-89081 Ulm, Germany","Gusman, A.B., Departamento de Biologia, Faculdade de Filosofia, Universidade de São Paulo, BR-14040-901 Ribeirao Preto, S.P., Brazil; Gottsberger, G., Abteilung Spezielle Botanik, Universität Ulm, Albert-Einstein-Allee 11, D-89081 Ulm, Germany",[No abstract available],Amino acids; Bignoniaceae. - Flower morphology. - Flower color differences; Brazil; Caloric reward; Floral pigments; ornithophily; Nectar production; Pollination biology. - Cerrado vegetation; Pyrostegia venusta; Sugars,Article,,Scopus,2-s2.0-2842551453
"Maguire T.L., Sedgley M., Conran J.G.","Banksia Sect. Coccinea (Proteaceae), a New Section",1996,Australian Systematic Botany,9,6,,887,891,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344328499&partnerID=40&md5=7fc7f07ab8617ee32a77e7444ea321dc,"Dept. Hort., Viticulture Oenology, University of Adelaide, Plant Research Centre, PMB 1, Glen Osmond, SA 5001, Australia; Department of Botany, University of Adelaide, GPO Box 498, Adelaide, SA 5001, Australia","Maguire, T.L., Dept. Hort., Viticulture Oenology, University of Adelaide, Plant Research Centre, PMB 1, Glen Osmond, SA 5001, Australia; Sedgley, M., Dept. Hort., Viticulture Oenology, University of Adelaide, Plant Research Centre, PMB 1, Glen Osmond, SA 5001, Australia; Conran, J.G., Department of Botany, University of Adelaide, GPO Box 498, Adelaide, SA 5001, Australia","A new section of Banksia, sect. Coccinea (A.S. George) T.L. Maguire, M. Sedgley & J.G. Conran, is described to include the single, but phylogenetically isolated species, Banksia coccinea R.Br. Sectional classification is based on the distinct morphological features of B. coccinea and its pollen-pistil compatibility to other species of Banksia. Interspecific pollination shows lower style compatibility with species of sect. Oncostylis, rather than sect. Banksia, where B. coccinea is currently placed. Due to the lack of lower style compatibility with sect. Banksia and B. coccinea's distinctive morphology, it is proposed to erect a new monotypic section as sister to sect. Oncostylis.",,Article,,Scopus,2-s2.0-0344328499
Sakai S.,On ovule production in environments where pollinator or resource availability is unpredictable,1996,Journal of Theoretical Biology,183,3,,317,327,,14,10.1006/jtbi.1996.0223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030574421&doi=10.1006%2fjtbi.1996.0223&partnerID=40&md5=e6e4333eee946c26455df567e51baecc,"Biological Institute, Graduate School of Science, Tohoku University, Aoba, Sendai 980-77, Japan","Sakai, S., Biological Institute, Graduate School of Science, Tohoku University, Aoba, Sendai 980-77, Japan","I develop two optimal-allocation models to investigate bet-hedging on ovule production as an evolutionary strategy in environments where either pollinator availability or resource availability is unpredictable. In both models, a plant allocates the resources available in the flower stage to its attractive structures, ovule production, and/or reserves in the fruit stage. The pollinator availability for the year (in the first model) or the resource availability of the fruit stage (in the second model) is unpredictable. I show that large variability in pollinator or resource availability does not always select for an increase in the number of ovules produced by the plant. Rather, the plant decreases its ovule number in habitats where pollinator or resource availability is more variable. In the first model, this occurs if the expected pollinator availability is large, the resource availability is small, the recovery rate of reserved resources is small, or the prior selfing rate is large with a large degree of inbreeding depression. In the second model, it occurs if the pollinator availability is small or the expected resource availability is large. Thus, the bet-hedging hypothesis within the context of variation in ovule/flower number does not always work for ovule production in environments where pollinator or resource availability is unpredictable.",,Article,,Scopus,2-s2.0-0030574421
"Suso M.J., Moreno M.T., Mondragao-Rodrigues F., Cubero J.I.",Reproductive biology of Vicia faba: Role of pollination conditions,1996,Field Crops Research,46,01-Mar,,81,91,,13,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030432073&partnerID=40&md5=36e49dfca7aca2b924cad1099e3be634,"Instituto de Agricultura Sostenible, CSIC, Apdo. 4084, 14080 Cordoba, Spain; Dpto. de Mejora y Agronomía, CIDA, Apdo. 4240, 14080 Cordoba, Spain; Esc. Tec. Sup. Ingenieros A., Dpto. de Genética, Universidad de Córdoba, Apdo. 3048, 14080 Cordoba, Spain","Suso, M.J., Instituto de Agricultura Sostenible, CSIC, Apdo. 4084, 14080 Cordoba, Spain; Moreno, M.T., Dpto. de Mejora y Agronomía, CIDA, Apdo. 4240, 14080 Cordoba, Spain; Mondragao-Rodrigues, F., Esc. Tec. Sup. Ingenieros A., Dpto. de Genética, Universidad de Córdoba, Apdo. 3048, 14080 Cordoba, Spain; Cubero, J.I., Esc. Tec. Sup. Ingenieros A., Dpto. de Genética, Universidad de Córdoba, Apdo. 3048, 14080 Cordoba, Spain","The effects of two different pollination conditions, self versus open, were studied in two consecutive years in 12 genotypes which showed wide variation for some reproductive characters related to plant structure, fertility and yield. Yield was not apparently limited by pollen availability. However, the first node to bear pods was lower in open- than in self-pollinated plants, which developed more flowers into young pods. The superabundance of flowers developed into young pods was compensated by adjustment of other yield components to achieve the physiological maximum yield. Open pollination may also have increased both pod and seed set, but only to a lesser extent, and depended on year and genotype. The results of these experiments also suggested that yield regulation operated by different mechanisms for the various genotypes; particularly, abortion of young pods, ovules and seeds, and seed-size adjustments. In some genotypes, many young pods were produced but few matured; in others, few ovules develop into seeds, or seeds remained small. Theoretically, such alternative strategies, present in different genotypes, could be combined to produce new high-yielding cultivars, in such a way that highly self-fertile genotypes respond optimally to the presence of pollinators.",Pollination; Reproduction; Vicia faba; Yield,Article,,Scopus,2-s2.0-0030432073
"Knudsen J.T., Mod S.A.",Floral scents and pollination in neotropical lecythidaceae,1996,Biotropica,28,1,,42,60,,39,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029730308&partnerID=40&md5=7a3725fffe6253889461961d0f0504d1,"Department of Chemical Ecology, University of Göteborg, Carl Skottsbergsgatan 22, S-413 19 Göteborg, Sweden; Institute of Systematic Botany, New York Botanical Garden, Bronx, NY 10458-5126, United States; Natl. Environ. Research Institute, Department of Wildlife Ecology, Kalø Grenávey 12, DK-8410 Rønde, Denmark","Knudsen, J.T., Department of Chemical Ecology, University of Göteborg, Carl Skottsbergsgatan 22, S-413 19 Göteborg, Sweden, Natl. Environ. Research Institute, Department of Wildlife Ecology, Kalø Grenávey 12, DK-8410 Rønde, Denmark; Mod, S.A., Institute of Systematic Botany, New York Botanical Garden, Bronx, NY 10458-5126, United States","Floral scent was collected with head-space adsorption and analysed by gas chromatography-mass spectrometry for 12 species of Neotropical Lecythidaceae in the genera Corythophora, Couratari, Couroupita, Eschweilera, Grias, Gustavia. and Lecythis. Most of the species were dominated by a single floral scent compound. Most of the compounds identified in this study have been previously reported in floral scents collected with head-space techniques from other plant families. However, several of the fatty acid derived esters of hexanol and cis-3-hexenol present in Lecythis persistens have been reported only in one or a few other plant families. No apparent correlations were found between amount and number of floral scent compounds produced on the one hand and pollinator reward, morphology, color, or size of flowers on the other hand The fatry acid derivatives found in Grias suggest that beetles may be the pollinators whereas the floral scent compounds of all other species studied are consistent with bee pollination. The floral scents of the nectar-producing species Eschuetleva coriacea and Couratari stellata contain, in contrast to the pollen-producing species, compounds that are highly attractive to male euglossine bees. This suggests that floral scent may play a role in directing male euglossine bees to those species of Lecythidaceae providing nectar as a pollinator reward. The combination of secondary and primary floral attractants interacting with pollinators probably accounts for much of the species diversity of this family in Neotropical forests.",Euglossophtly; Floral scent chemistry; Gc-ms. Head-space adsorption; Lecythida; Melittophtly; Pollination biology,Article,,Scopus,2-s2.0-0029730308
"Bittrich V., Amaral M.C.E.",Pollination biology of Symphonia globulifera (Clusiaceae),1996,Plant Systematics and Evolution,200,01-Feb,,101,110,,35,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001672572&partnerID=40&md5=49cca8949cc675db50deaa693fc3cb91,"Depto. de Botânica, IB - Univ. Estadual de Campinas, C. P. 6109, 13081-970 Campinas, SP, Brazil","Bittrich, V., Depto. de Botânica, IB - Univ. Estadual de Campinas, C. P. 6109, 13081-970 Campinas, SP, Brazil; Amaral, M.C.E., Depto. de Botânica, IB - Univ. Estadual de Campinas, C. P. 6109, 13081-970 Campinas, SP, Brazil","The pollination biology of Symphonia globulifera was studied in Central Amazonia, Brazil. As suggested by the bird syndrome of the flowers, these are mainly pollinated by hummingbirds. Occasional visits by other birds, butterflies and more rarely bees, as well as tamarin monkeys were also observed. Trigona bees partly destroy the flower tube to rob nectar. The possibility that S. globulifera may not be primarily adapted to hummingbird pollination is discussed. The pollen is intermixed in an oily fluid secreted by the anthers (aniheroil). Each of the five stigmas consists of a pore-like opening at the apex and a small chamber behind it. The anthcroil mixed with pollen is absorbed by capillarity into the chamber when deposited on the pore. The pollen germinates inside the stigma. The presence of antheroil and pore-like stigmas in the flowers of the closely related Plaionia insignis indicate a similar mode of pollination. The results of this study are compared with observations in some other Clusiaceae (Caraipa, Clusia, Garcinia, Mahurea), where floral oils or floral resin occur. The role of these substances in the pollination process and their relation to the evolution of flower biology in Clusiaceae are briefly discussed.","Clusiaceae, Guttiferae, Symphonia; Pollination, nectar, hummingbirds, perching birds, antheroil",Article,,Scopus,2-s2.0-0001672572
Vaughton G.,Pollination disruption by European honeybees in the Australian bird-pollinated shrub Grevillea barklyana (Proteaceae),1996,Plant Systematics and Evolution,200,01-Feb,,89,100,,69,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002569313&partnerID=40&md5=c54c0c017d0d2e0bae4131ab09f69f5c,"Department of Biological Sciences, University of Wollongong, Wollongong, NSW 2522, Australia; School of Botany, La Trobe University, Bundoora, Vic. 3083, Australia","Vaughton, G., Department of Biological Sciences, University of Wollongong, Wollongong, NSW 2522, Australia, School of Botany, La Trobe University, Bundoora, Vic. 3083, Australia","European honeybees (Apis mellifera) were less efficient pollinators of Grevillca barklyana than nectar-feeding birds. Nectar-collecting honeybees did not contact reproductive parts of flowers. Pollen-collecting honeybees preferentially visited male-stage flowers but rarely visited female-stage flowers. Fruit set on caged inflorescences that allowed access to honeybees but excluded birds was reduced by more than 50% compared to inflorescences that were visited by both types of visitors. Further, fruit set on caged inflorescences was less than on bagged inflorescences that excluded both birds and honeybees, indicating that pollen removal by bees decreased opportunities for delayed autonomous selfing in the absence of birds. Although fruit set was not pollen-limited at the study site, pollen removal by honeybees would decrease fruit set in small populations where birds are scarce. In addition, pollen removal by honeybees would reduce opportunities for outerossing and reproductive success through male function. Although honeybees have been in Australia for insufficient time to have exerted selection on floral traits, evolutionary shifts in response to these animals are likely to occur in the future.","Flora of Australia; Pollinator efficiency, nectar-feeding birds, Apis mellifera; Proteaceae, Grevillea barklyana",Article,,Scopus,2-s2.0-0002569313
Jones K.N.,Pollinator behavior and postpollination reproductive success in alternative floral phenotypes of Clarkia gracilis (Onagraceae),1996,International Journal of Plant Sciences,157,6,,733,738,,23,10.1086/297396,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030299162&doi=10.1086%2f297396&partnerID=40&md5=5fc69e0becb1108e4a2c0660b38f7f0e,"Department of Biology, Wellesley College, Wellesley, MA 02181, United States","Jones, K.N., Department of Biology, Wellesley College, Wellesley, MA 02181, United States","Clarkia gracilis ssp. sonomensis has a floral polymorphism (presence vs. absence of petal spots) that is determined by a single gene. Most populations are monomorphic, indicating that frequency-dependent selection may limit the spread of the rare allele within a population. Also, the vast majority of populations are composed of the dominant (spotted) phenotype. To determine whether fertility selection mechanisms might favor one phenotype over the other and/or act in a frequency-dependent manner, I examined pollinator behavior and postpollination success in these plants. Differential pollinator visitation among floral spot phenotypes was tested using experimental arrays placed into natural populations composed of different frequencies of the two phenotypes. Slight pollinator preference for spotted plants was detected in some arrays; in no array was there significant preference for unspotted plants, even when the background population was 100% unspotted plants. There was no evidence of frequency-dependent visitation behavior by pollinators. A hand-pollination experiment explored the relative abilities of the two floral morphs to sire and mature seeds when given ample pollination, both in single- and mixed-donor pollen loads. Pollen from spotted plants sired 10% more seeds than pollen from unspotted plants in the single-donor treatments, although phenotypic frequencies of offspring from mixed-donor loads did not differ from random expectation. Maternal seed maturation rates did not differ between morphs. These results support a previous finding of a consistent male fitness advantage for spotted plants over the whole range of phenotypic frequencies found in natural populations.",,Article,,Scopus,2-s2.0-0030299162
"Vieira M.F., De Carvalho-Okano R.M.",Pollination biology of mabea fistulifera (euphorbiaceae) in Southeastern Brazil,1996,Biotropica,28,1,,61,68,,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029773234&partnerID=40&md5=e509a71da7bfc711d5a4f052680ace11,"Departamento de Biologia Vegetal, Universidade Fedral de Viçosa, 36570-000 Vicosa, Minas Gerais, Brazil","Vieira, M.F., Departamento de Biologia Vegetal, Universidade Fedral de Viçosa, 36570-000 Vicosa, Minas Gerais, Brazil; De Carvalho-Okano, R.M., Departamento de Biologia Vegetal, Universidade Fedral de Viçosa, 36570-000 Vicosa, Minas Gerais, Brazil","The floral biology of the tree Mabia fistulifera and the behavior of its floral visitors were studied in Viçosa. Minas Gerais State, southeastern Brazil. M. fistulifera is monoecious and self-incompatible. Its inflorescences present a female phase that lasts ten days, followed by a bisexual phase of three days during which animals exploit the nectar and pollen produced by male flowers. Pollination is effected by nocrumal as well as diurnal visitors, including mammals, birds and insects The bats Artibeus lituratus. Vampyrops liutatus and Sturuira lilium and the opossum Didelphis marsupialis are the nocturnal pollinators. Several passerine birds and bees are the diurnal pollinators The broad spectrum of unspecialized pollinators suggests that M. fistulisfera reproduction mar be little affected by disturbances of the animal community. Besides being visited by pollinators, the inflorescences are also visited by nectar thieves such as the flower bat Glassophaga soriciua and hummingbirds.",Bees; Breeding system; Feeding behavior; Floral biology; Fruss bats; Mabea; Passerius birds,Article,,Scopus,2-s2.0-0029773234
Listabarth C.,Pollination of bactris by phyllotrox and epurea. implications of the palm breeding beetles on pollination at the community level,1996,Biotropica,28,1,,69,81,,49,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029773312&partnerID=40&md5=9e73c58c802b8faa5e5ac2b01eeab54f,"Res. Ctr. Biosystematics/Ecol., Austrian Academy of Sciences, Kegelgasse 27, A-1030 Vienna, Austria; Zieglergasse 15/28, A-1070 Vienna, Austria","Listabarth, C., Res. Ctr. Biosystematics/Ecol., Austrian Academy of Sciences, Kegelgasse 27, A-1030 Vienna, Austria, Zieglergasse 15/28, A-1070 Vienna, Austria","The reproductive biology of three syntopical palm species. Bactris bifida. B. mmiuvia. and B. gasipacei was investigated to determine their pollination strategies and pollinators, and to elucidate their impact on pollination for the local palm assemblage. In Petuvian Amazonia, is pollinated mainly by beetles of the genera Phyllotox (Curculionidae) and Eparus (Nitidulidae), which are attracted to the protgynous, heavily scented inflorescences for mating and oviposition. In experiments (N = 15), beetles were constantly raised in the staminate flowers, which abscise after antheisi Pollinator activity is crepuscular-nocturnal and the beetles change from male phase inflorescences to female phase inflorescences during twilight. The non-overlap of sexual phases within individuals largely promotes outbreeding in Ba. The extensively cultivated B is pollinated by other species of Phyllotrox and Epurta than the primary forest species B bifida and B . The latter two share the same pollinators with two species of . These species constitute an assemblage of reproductively similar palms. The beetle pollinators are associated with the palms mainly at and above the generic level, although development of their larvae in the abscised flowers of the host species probably leads to a chemical preference and thus flower constancy"" to that species. At the end of the host plant's flowering period beetles may switch to another assemblage member, because the palms provide the same resources. The assemblage members are patchily distributed, and population density in such patches is extremely high. They show staggered flowering and the most abundant species within the assemblage flower 2 or even 3 times a year, while less abundant species flower once a year.",Bactris(bascitridinac) cartharophtly; Community; Epurea (nitidalidact); Palnse (arecaceae); Phyllottox (curculionidac); Plasm assemblagt; Pollination; Pollinator reproduction,Article,,Scopus,2-s2.0-0029773312
