Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Sajjad A., Saeed S., Masood A.",Pollinator community of onion (Allium cepa L.) and its role in crop reproductive success,2008,Pakistan Journal of Zoology,40,6,,451,456,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57949108594&partnerID=40&md5=12fced1f5210d031719f6e3c2d554f05,"University College of Agriculture, Bahauddin Zakariya University, Multan, Pakistan","Sajjad, A., University College of Agriculture, Bahauddin Zakariya University, Multan, Pakistan; Saeed, S., University College of Agriculture, Bahauddin Zakariya University, Multan, Pakistan; Masood, A., University College of Agriculture, Bahauddin Zakariya University, Multan, Pakistan","Investigations to identify the pollinator community of insects and its role in onion (Allium cepa L.) pollination were carried out at the research farm of University College of Agriculture, Bahauddin Zakariya University. Multan, Pakistan. The community of pollinators was composed of two bees (Order: Hymenoptera) and eight true flies (Order Diptera). Among bees, Apis dorsata proved to be an abundant pollinator (2.85±1.57 individuals/25 plants) while among true flies Episyrphus balteatus (Syrphidae) had the maximum abundance of 14.00±4.61 individuals/25 plants. All the insect pollinator species reached peak activity during 10:00 to 12:00 h. Eupeodes corollae (Syrphidae) exhibited the most efficient foraging behavior by visiting 17.14±1.38 flowers in 147.5±8.14 seconds on an umbel. A. dorsata was revealed as the most effective pollinator, however, based on seed setting results for visits by single species over 20 minutes and which produced 506 seeds/umbel/20 minute visit. Copyright 2008 Zoological Society of Pakistan.",Allium cepa L.; Onion; Pollination effectiveness; Pollinators; Seed setting,Article,,Scopus,2-s2.0-57949108594
"van Engelsdorp D., Hayes Jr. J., Underwood R.M., Pettis J.","A survey of honey bee colony losses in the U.S., Fall 2007 to Spring 2008",2008,PLoS ONE,3,12, e4071,,,,260,10.1371/journal.pone.0004071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149187868&doi=10.1371%2fjournal.pone.0004071&partnerID=40&md5=383739ca4eafcda8f95e748cb09d8911,"Pennsylvania Department of Agriculture, Bureau of Plant Industry-Apiculture, Harrisburg, PA, United States; Department of Entomology, The Pennsylvania State University, University Park, PA, United States; Florida Department of Agriculture, Bureau of Plant and Apiary Inspection, Division of Plant Industry, Gainesville, FL, United States; United States Department of Agriculture (USDA), ARS Bee Research Laboratory, Beltsville, MD, United States","van Engelsdorp, D., Pennsylvania Department of Agriculture, Bureau of Plant Industry-Apiculture, Harrisburg, PA, United States, Department of Entomology, The Pennsylvania State University, University Park, PA, United States; Hayes Jr., J., Florida Department of Agriculture, Bureau of Plant and Apiary Inspection, Division of Plant Industry, Gainesville, FL, United States; Underwood, R.M., Department of Entomology, The Pennsylvania State University, University Park, PA, United States; Pettis, J., United States Department of Agriculture (USDA), ARS Bee Research Laboratory, Beltsville, MD, United States","Background: Honey bees are an essential component of modern agriculture. A recently recognized ailment, Colony Collapse Disorder (CCD), devastates colonies, leaving hives with a complete lack of bees, dead or alive. Up to now, estimates of honey bee population decline have not included losses occurring during the wintering period, thus underestimating actual colony mortality. Our survey quantifies the extent of colony losses in the United States over the winter of 2007-2008. Methodology/Principal Findings: Surveys were conducted to quantify and identify management factors (e.g. operation size, hive migration) that contribute to high colony losses in general and CCD symptoms in particular. Over 19% of the country's estimated 2.44 million colonies were surveyed. A total loss of 35.8% of colonies was recorded; an increase of 11.4% compared to last year. Operations that pollinated almonds lost, on average, the same number of colonies as those that did not. The 37.9% of operations that reported having at least some of their colonies die with a complete lack of bees had a total loss of 40.8% of colonies compared to the 17.1% loss reported by beekeepers without this symptom. Large operations were more likely to have this symptom suggesting that a contagious condition may be a causal factor. Sixty percent of all colonies that were reported dead in this survey died without dead bees, and thus possibly suffered from CCD. In PA, losses varied with region, indicating that ambient temperature over winter may be an important factor. Conclusions/Significance: Of utmost importance to understanding the recent losses and CCD is keeping track of losses over time and on a large geographic scale. Given that our surveys are representative of the losses across all beekeeping operations, between 0.75 and 1.00 million honey bee colonies are estimated to have died in the United States over the winter of 2007-2008. This article is an extensive survey of U.S. beekeepers across the continent, serving as a reference for comparison with future losses as well as providing guidance to future hypothesis-driven research on the causes of colony mortality.",,Article,Open Access,Scopus,2-s2.0-58149187868
"Fleischer R.C., James H.F., Olson S.L.",Convergent Evolution of Hawaiian and Australo-Pacific Honeyeaters from Distant Songbird Ancestors,2008,Current Biology,18,24,,1927,1931,,41,10.1016/j.cub.2008.10.051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57649232770&doi=10.1016%2fj.cub.2008.10.051&partnerID=40&md5=86186d944c6801f894a4d5bb97d6588d,"Center for Conservation and Evolutionary Genetics, National Zoological Park, Smithsonian Institution, Washington, DC 20008, United States; Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20560, United States","Fleischer, R.C., Center for Conservation and Evolutionary Genetics, National Zoological Park, Smithsonian Institution, Washington, DC 20008, United States, Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20560, United States; James, H.F., Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20560, United States; Olson, S.L., Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20560, United States","The Hawaiian ""honeyeaters,"" five endemic species of recently extinct, nectar-feeding songbirds in the genera Moho and Chaetoptila, looked and acted like Australasian honeyeaters (Meliphagidae), and no taxonomist since their discovery on James Cook's third voyage has classified them as anything else [1-8]. We obtained DNA sequences from museum specimens of Moho and Chaetoptila collected in Hawaii 115-158 years ago. Phylogenetic analysis of these sequences supports monophyly of the two Hawaiian genera but, surprisingly, reveals that neither taxon is a meliphagid honeyeater, nor even in the same part of the songbird radiation as meliphagids. Instead, the Hawaiian species are divergent members of a passeridan group that includes deceptively dissimilar families of songbirds (Holarctic waxwings, neotropical silky flycatchers, and palm chats). Here we designate them as a new family, the Mohoidae. A nuclear-DNA rate calibration [9] suggests that mohoids diverged from their closest living ancestor 14-17 mya, coincident with the estimated earliest arrival in Hawaii of a bird-pollinated plant lineage [10]. Convergent evolution, the evolution of similar traits in distantly related taxa because of common selective pressures, is illustrated well by nectar-feeding birds [11], but the morphological, behavioral, and ecological similarity of the mohoids to the Australasian honeyeaters makes them a particularly striking example of the phenomenon. © 2008 Elsevier Ltd. All rights reserved.",EVOL_ECOL,Article,Open Access,Scopus,2-s2.0-57649232770
"Kunze H., Wanntorp L.",The gynostegium of Hoya spartioides (Apocynaceae-Asclepiadoideae): A striking case of incongruence between molecular and phenotypic evolution,2008,Organisms Diversity and Evolution,8,5,,346,357,,4,10.1016/j.ode.2008.06.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63449140107&doi=10.1016%2fj.ode.2008.06.002&partnerID=40&md5=0ea64fba17b9d2977ecbbd6196e65c36,"Kläperstadt 46, 32425 Minden, Germany; Swedish Museum of Natural History, Box 50007, 10405 Stockholm, Sweden","Kunze, H., Kläperstadt 46, 32425 Minden, Germany; Wanntorp, L., Swedish Museum of Natural History, Box 50007, 10405 Stockholm, Sweden","In molecular phylogenies Hoya spartioides, formerly regarded as the only species in a separate genus Absolmsia, is nested in the genus Hoya. It appears as sister to H. curtisii with in a larger clade including H. lacunosa, H. imbricata, and H. caudata. In contrast to this close molecular relationship the floral morphology of H. spartioides differs considerably not only from that of its sister, H. curtisii, but from all others pecies of Hoya investigated so far. Of special interest are the differences in functional morphology of the pollinating apparatus, which in spite of its high degree of synorganization has undergone considerable evolutionary change in H. spartioides. Some of the new traits are even unique within the subfamily Asclepiadoideae as a whole. The large phenotypic distance between H. spartioides and H. curtisii is not reflected in corresponding differences in the tested marker genes, which raises the question of how the flower of H. spartioides has evolved. © 2008 Gesellschaft für Biologische Systematik. Published by Elsevier GmbH. All rights reserved.",Asclepiadoideae; Floral morphology; Hoya; Marsdenieae; Phenotypicdistance; Synorganization,Article,,Scopus,2-s2.0-63449140107
"Cao D.-D., Hu J., Huang X.-X., Wang X.-J., Guan Y.-J., Wang Z.-F.",Relationships between changes of kernel nutritive components and seed vigor during development stages of F1 seeds of sh2 sweet corn,2008,Journal of Zhejiang University: Science B,9,12,,964,968,,12,10.1631/jzus.B0820084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57549101010&doi=10.1631%2fjzus.B0820084&partnerID=40&md5=8e2b40ba78d8b07a4731f261d278018e,"Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; State Key Laboratory of Crop Genetics and Germplasm Enhancement, Nanjing Agricultural University, Nanjing 210095, China","Cao, D.-D., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; Hu, J., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; Huang, X.-X., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; Wang, X.-J., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; Guan, Y.-J., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China; Wang, Z.-F., Seed Science Center, College of Agriculture and Biotechnology, Zhejiang University, Hangzhou 310029, China, State Key Laboratory of Crop Genetics and Germplasm Enhancement, Nanjing Agricultural University, Nanjing 210095, China","The changes of kernel nutritive components and seed vigor in F1 seeds of sh2 sweet corn during seed development stage were investigated and the relationships between them were analyzed by time series regression (TSR) analysis. The results show that total soluble sugar and reducing sugar contents gradually declined, while starch and soluble protein contents increased throughout the seed development stages. Germination percentage, energy of germination, germination index and vigor index gradually increased along with seed development and reached the highest levels at 38 d after pollination (DAP). The TSR showed that, during 14 to 42 DAP, total soluble sugar content was independent of the vigor parameters determined in present experiment, while the reducing sugar content had a significant effect on seed vigor. TSR equations between seed reducing sugar and seed vigor were also developed. There were negative correlations between the seed reducing sugar content and the germination percentage, energy of germination, germination index and vigor index, respectively. It is suggested that the seed germination, energy of germination, germination index and vigor index could be predicted by the content of reducing sugar in sweet corn seeds during seed development stages. © Zhejiang University and Springer-Verlag GmbH 2008.",Kernel nutritive component; Seed vigor; Sh2 sweet corn; Time series regression (TSR) analysis,Article,,Scopus,2-s2.0-57549101010
"Soto G., Alleva K., Mazzella M.A., Amodeo G., Muschietti J.P.","AtTIP1;3 and AtTIP5;1, the only highly expressed Arabidopsis pollen-specific aquaporins, transport water and urea",2008,FEBS Letters,582,29,,4077,4082,,57,10.1016/j.febslet.2008.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649083462&doi=10.1016%2fj.febslet.2008.11.002&partnerID=40&md5=d34c509d78dcd2a1500a1b9a8a203c03,"Instituto de Ingeniería Genética y Biología Molecular (INGEBI-CONICET), Vuelta de Obligado 2490 Piso 2, C1428ADN Buenos Aires, Argentina; Laboratorio de Biomembranas, Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina; Departamento de Fisiología, Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina","Soto, G., Instituto de Ingeniería Genética y Biología Molecular (INGEBI-CONICET), Vuelta de Obligado 2490 Piso 2, C1428ADN Buenos Aires, Argentina; Alleva, K., Laboratorio de Biomembranas, Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina; Mazzella, M.A., Instituto de Ingeniería Genética y Biología Molecular (INGEBI-CONICET), Vuelta de Obligado 2490 Piso 2, C1428ADN Buenos Aires, Argentina; Amodeo, G., Laboratorio de Biomembranas, Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina; Muschietti, J.P., Instituto de Ingeniería Genética y Biología Molecular (INGEBI-CONICET), Vuelta de Obligado 2490 Piso 2, C1428ADN Buenos Aires, Argentina, Departamento de Fisiología, Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina","Pollination includes processes where water and/or solute movements must be finely regulated, suggesting participation of aquaporins. Using information available from different transcriptional profilings of Arabidopsis thaliana mature pollen, we showed that the only aquaporins that are selectively and highly expressed in mature pollen are two TIPs: AtTIP1;3 and AtTIP5;1. Pollen exhibited a lower number and more exclusive type of aquaporin expressed genes when compared to other single cell transcriptional profilings. When characterized using Xenopus oocyte swelling assays, AtTIP1;3 and AtTIP5;1 showed intermediate water permeabilities. Although they displayed neither glycerol nor boric acid permeability they both transported urea. In conclusion, these results suggest a function for AtTIP1;3 and AtTIP5;1 as specific water and urea channels in Arabidopsis pollen. © 2008 Federation of European Biochemical Societies.",Arabidopsis; Pollen hydration; Pollen tube; Solute transport; Tonoplast aquaporin; Urea,Article,,Scopus,2-s2.0-56649083462
Huck R.B.,Dicerandra modesta (Lamiaceae): Raise in rank for a disjunct perennial in a new coastal clade in Florida,2008,Journal of the Botanical Research Institute of Texas,2,2,,1163,1164,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58749093227&partnerID=40&md5=1492448725d6c2c9f311f4432a1aeccb,"Florida Museum of Natural History, University of Florida, Gainesville, FL 32611, United States","Huck, R.B., Florida Museum of Natural History, University of Florida, Gainesville, FL 32611, United States","Dicerandra frutescens subsp. modesta is raised to species rank: Dicerandra modesta. Recent molecular studies show this new perennial species to be a disjunct aligned with the Dicerandra species of the Atlantic Coastal Ridge of eastern Florida not with Dicerandra frutescens of the Lake Wales Ridge of interior central Florida. Differences m corolla coloration, anther spur ornamentation and pollination ecology distinguish Dicerandra modesta from the members in the new coastal clade.",Atlantic Coastal Ridge; Dicerandra modesta; Lake Wales Ridge; Pollination; Southeastern U.S. endemics,Article,,Scopus,2-s2.0-58749093227
"Jones F.A., Comita L.S.",Neighbourhood density and genetic relatedness interact to determine fruit set and abortion rates in a continuous tropical tree population,2008,Proceedings of the Royal Society B: Biological Sciences,275,1652,,2759,2767,,28,10.1098/rspb.2008.0894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54249104902&doi=10.1098%2frspb.2008.0894&partnerID=40&md5=e9dc720e6efaecedc3ecff86e89dec1c,"Smithsonian Tropical Research Institute, Apartado 0843-03092, Balboa Ancon, Panama City, Panama; Department of Ecology, Evolution and Behavior, University of Minnesota, 1987 Upper Buford Circle, St. Paul, MN 55108, United States; Department of Ecology, Evolution and Environmental Biology, Columbia University, 1200 Amsterdam Avenue, New York, NY 10027, United States","Jones, F.A., Smithsonian Tropical Research Institute, Apartado 0843-03092, Balboa Ancon, Panama City, Panama, Department of Ecology, Evolution and Behavior, University of Minnesota, 1987 Upper Buford Circle, St. Paul, MN 55108, United States; Comita, L.S., Department of Ecology, Evolution and Behavior, University of Minnesota, 1987 Upper Buford Circle, St. Paul, MN 55108, United States, Department of Ecology, Evolution and Environmental Biology, Columbia University, 1200 Amsterdam Avenue, New York, NY 10027, United States","Tropical trees may show positive density dependence in fruit set and maturation due to pollen limitation in low-density populations. However, pollen from closely related individuals in the local neighbourhood might reduce fruit set or increase fruit abortion in self-incompatible tree species. We investigated the role of neighbourhood density and genetic relatedness on individual fruit set and abortion in the neotropical tree Jacaranda copaia in a large forest plot in central Panama. Using nested neighbourhood models, we found a strong positive effect of increased conspecific density on fruit set and maturation. However, high neighbourhood genetic relatedness interacted with density to reduce total fruit set and increase the proportion of aborted fruit. Our results imply a fitness advantage for individuals growing in high densities as measured by fruit set, but realized fruit set is lowered by increased neighbourhood relatedness. We hypothesize that the mechanism involved is increased visitation by density-dependent invertebrate pollinators in high-density populations, which increases pollen quantity and carry-over and increases fruit set and maturation, coupled with self-incompatibility at early and late stages due to biparental inbreeding that lowers fruit set and increases fruit abortion. Implications for the reproductive ecology and conservation of tropical tree communities in continuous and fragmented habitats are discussed. © 2008 The Royal Society.",Barro Colorado Island; Forest fragmentation; Jacaranda copaia; Pollen limitation; Positive density dependence; Spatial genetic structure,Article,,Scopus,2-s2.0-54249104902
"Devaux C., Lande R.","Incipient allochronic speciation due to non-selective assortative mating by flowering time, mutation and genetic drift",2008,Proceedings of the Royal Society B: Biological Sciences,275,1652,,2723,2732,,45,10.1098/rspb.2008.0882,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54249147319&doi=10.1098%2frspb.2008.0882&partnerID=40&md5=3e696cea202361d606defa87da117d77,"Division of Biological Sciences, University of California, San Diego, San Diego, CA 92093-0116, United States; Division of Biology, Imperial College London, Silwood Park Campus, Ascot, Berkshire SL5 7PY, United Kingdom","Devaux, C., Division of Biological Sciences, University of California, San Diego, San Diego, CA 92093-0116, United States, Division of Biology, Imperial College London, Silwood Park Campus, Ascot, Berkshire SL5 7PY, United Kingdom; Lande, R., Division of Biology, Imperial College London, Silwood Park Campus, Ascot, Berkshire SL5 7PY, United Kingdom","We model the evolution of flowering time using a multilocus quantitative genetic model with non-selective assortative mating and mutation to investigate incipient allochronic speciation in a finite population. For quantitative characters with evolutionary parameters satisfying empirical observations and two approximate inequalities that we derived, disjunct clusters in the population flowering phenology originated within a few thousand generations in the absence of disruptive natural or sexual selection. Our simulations and the conditions we derived showed that cluster formation was promoted by limited population size, high mutational variance of flowering time, short individual flowering phenology and a long flowering season. By contrast, cluster formation was hindered by inbreeding depression, stabilizing selection and pollinator limitation. Our results suggest that incipient allochronic speciation in populations of limited size (satisfying two inequalities) could be a common phenomenon. © 2008 The Royal Society.",Assortative mating; Flowering time; Multilocus trait; Quantitative genetic model; Sympatric speciation,Article,,Scopus,2-s2.0-54249147319
"Jolli R.B., Vyakaranahal B.S., Dharmatti P.R., Patil A.A., Shekaragouda M.",Standardization of pollination time in tomato hybrid seed production,2008,Research on Crops,9,3,,622,626,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957823492&partnerID=40&md5=7513c432ce84977607331c2afcad72ea,"Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India","Jolli, R.B., Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India; Vyakaranahal, B.S., Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India; Dharmatti, P.R., Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India; Patil, A.A., Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India; Shekaragouda, M., Regional Agricultural Research Station, Bijapur College of Agriculture, Dharwad (Karnataka), India","To know the effect of pollination time on tomato hybrid seed production, a study on pollination at different time was undertaken at Agricultural Research Station, Hanumanamatti of Haveri District in Karnataka state during 2003 and 2004.this study, the pooled analysis of two years' data indicated that pollination at 10.00 a. m., 11.00 a. m. and 12.00 noon recorded higher fruit set percentage (48.7, 53.5 and 51.7), crossed fruit weight per plant (79.19, 80.95 and 72.52 g), seed weight per fruit (0.733, 0.826 and 0.698 g), number of seeds per fruit (73.8, 8.9 and 79.6), seed yield per plant (11.07, 11.86 and 11.11 g), seed recovery percentage (4.57, 4.75 and 4.52), respectively, and higher seed quality parameters such as germination, field emergence, root length, shoot length and vigour index were recorded.",Hybrid seed production; Pollination time; Standardization; Tomato,Article,,Scopus,2-s2.0-79957823492
