Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Sattler T., Obrist M.K., Duelli P., Moretti M.",Urban arthropod communities: Added value or just a blend of surrounding biodiversity?,2011,Landscape and Urban Planning,103,03-Apr,,347,361,,29,10.1016/j.landurbplan.2011.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054853277&doi=10.1016%2fj.landurbplan.2011.08.008&partnerID=40&md5=c2a7bd95854494e7cccfe1acede8e5d8,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Community Ecology, Via Belsoggiorno 22, CH-6500 Bellinzona, Switzerland; Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Biodiversity and Conservation Biology, Zürcherstrasse 111, CH-8903 Birmensdorf, Switzerland","Sattler, T., Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Community Ecology, Via Belsoggiorno 22, CH-6500 Bellinzona, Switzerland; Obrist, M.K., Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Biodiversity and Conservation Biology, Zürcherstrasse 111, CH-8903 Birmensdorf, Switzerland; Duelli, P., Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Biodiversity and Conservation Biology, Zürcherstrasse 111, CH-8903 Birmensdorf, Switzerland; Moretti, M., Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Biodiversity and Conservation Biology, Zürcherstrasse 111, CH-8903 Birmensdorf, Switzerland","Urban areas are species-rich ecosystems. The question remains, however, whether urban species constitute a unique community, and thus add value to landscape biodiversity, or whether they are just a mixture of species from surrounding ecosystems. In this study, the occurrence and abundance of arthropods were analysed according to trophic guilds (Cerambycidae and Buprestidae as xylophagous species, Apiformes as pollinators, Neuroptera as flying predators, Araneae and Carabidae as surface-dwelling predators) in urban, agricultural and forest ecosystems in Switzerland. To assess the likely origin of arthropod fauna in Swiss cities, we identified character species (regular and constant occurrence) for ecosystems and performed ordination and cluster analyses. In total, we studied 10,034 specimens from 497 species and found that 13% of all species and 10% of the character species were predominately found in the urban ecosystems. Community analyses showed that the three ecosystems harbour distinct species assemblages. While communities at forest sites are quite dissimilar from those at urban and agricultural sites, these latter share more than one third of all character species, which indicates either that agricultural areas function as source habitats for urban communities or that agricultural species have survived urbanisation in situ. Overall, our study identified a distinct urban arthropod community that enriches landscape (gamma) diversity in Switzerland. Urban sites may provide novel habitats for species of former extensive agriculture, or species otherwise not, or scarcely, occurring in the region. The present study illuminates the value of urban arthropods for overall biodiversity which should be incorporated in planning decisions. © 2011 Elsevier B.V.",Agriculture; Alien; Community composition; Forest; Gamma diversity; Trophic guilds,Article,,Scopus,2-s2.0-80054853277
"Ángel-Coca C., Nates-Parra G., Ospina-Torres R., Ortiz C.D.M., Amaya-Márquez M.","Floral and reproductive biology of the ""gulupa"" Passiflora edulis sims f. edulis [Biología floral y reproductiva de la gulupa Passiflora edulis sims f. edulis]",2011,Caldasia,33,2,,433,451,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455190123&partnerID=40&md5=bbf033e162053ace0a856da1306d7d22,"Departamento de Biología, Universidad Nacional de Colombia, Apartado 46527, Bogotá, Colombia; Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Apartado 7495. Bogotá, Colombia","Ángel-Coca, C., Departamento de Biología, Universidad Nacional de Colombia, Apartado 46527, Bogotá, Colombia; Nates-Parra, G., Departamento de Biología, Universidad Nacional de Colombia, Apartado 46527, Bogotá, Colombia; Ospina-Torres, R., Departamento de Biología, Universidad Nacional de Colombia, Apartado 46527, Bogotá, Colombia; Ortiz, C.D.M., Departamento de Biología, Universidad Nacional de Colombia, Apartado 46527, Bogotá, Colombia; Amaya-Márquez, M., Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Apartado 7495. Bogotá, Colombia","The floral and reproductive biology of Passiflora edulis f. edulis was studied in crops located at the Cordillera Oriental in the Colombian Andes (Buenavista, Boyacá). The floral anthesis occurred between 6 and 8 hrs, and the average floral longevity was of 25 hrs. Four phenological flower phases were recognized: (1) Female with herkogamy, (2) Homogamy with herkogamy, (3) Homogamy with not herkogamy, and (4) Senescence. Although the stigmas were receptive during all floral phases, there was a higher fruit production from pollination carried out at the second and third phases. Pollen donation occurs at phase 2 with 96% of viability. The production of nectar showed an increasing tendency through the floral life. Pollination experiments showed that although P. edulis f. edulis is highly auto-compatible, it requires of pollinators to increase fruit harvesting, as indicated by the low percentage (33%) of fruits obtained without pollinators. Our results suggest that gulupa has a mixed reproductive strategy promoting endogamy in some floral phases while promoting crossing in others. The conservation of gulupa's pollinators in Buenavista is crucial to keep fruit production as a sustainable activity in the region.",Colombia; Floral biology; Gulupa; Passiflora edulis f. edulis; Pollination service; Reproductive biology,Article,,Scopus,2-s2.0-84455190123
"Zamora-Carrillo M., Amat-García G.D., Fernández-Alonso J.L.","Interaction of flowers flies (Diptera: Syrphidae) and Salvia bogotensis (Lamiaceae) in the botanical garden of bogotá (Colombia) [Estudio de las visitas de las moscas de las flores (Diptera: Syrphidae) en Salvia bogotensis (Lamiaceae) en el jardín botánico josé celestino mutis (Bogotá D.C., Colombia)]",2011,Caldasia,33,2,,453,470,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455190122&partnerID=40&md5=94b4012ee745c5ecbeb9cbe0a1c93329,"Facultad de Agronomía, Universidad Nacional de Colombia, Bogotá D.C, Colombia; Grupo Insectos de Colombia, Instituto de Ciencias Naturales, Facultad de Ciencias, Universidad Nacional de Colombia, Apartado 7495, Bogotá D.C, Colombia; Real Jardín Botánico RJB-CSIC, Plaza de Murillo 2, 28014 Madrid, Spain","Zamora-Carrillo, M., Facultad de Agronomía, Universidad Nacional de Colombia, Bogotá D.C, Colombia; Amat-García, G.D., Grupo Insectos de Colombia, Instituto de Ciencias Naturales, Facultad de Ciencias, Universidad Nacional de Colombia, Apartado 7495, Bogotá D.C, Colombia; Fernández-Alonso, J.L., Real Jardín Botánico RJB-CSIC, Plaza de Murillo 2, 28014 Madrid, Spain","The goal of this research was to describe the biological interaction between Salvia bogotensis (Lamiaceae) and the flower flies (Diptera:Syrphidae) in an urban setting, the Jardín Botánico ""José Celestino Mutis"" (Bogotá DC). After verifying the existence of the entomophily syndrome, the following aspects were studied: floral morphology, taxonomic composition, richness and abundance of syrphid species identified as flower visitors, and their cephalic and oral morphometry. S. bogotensis presents entomophily syndrome with absence of selfing. The Syrphid community associated with S.bogotensis included the following nine species in five genera: Allograpta neotropica Curran, 1936, Allograpta exotica Wiedermann, 1830, Allograpta annulipes Macquart, 1850, Allograpta aenea Hull, 1937, Lejops mexicana Macquart, 1842, Platycheirus ecuadoriensis Fluke, 1945, Platycheirus fenestrata Macquart, 1842, Syrphus shoree Fluke, 1950 and Toxomerus sp. 1. The species of flower flies (Syrphidae), as a whole, showed behavioral and morphological characteristics associated with low-efficiency pollinators, with a low rate of visits, inability for activation of levers staminal and minimal contact insect body with the anthers and stigma of the flower. Additionally, the flies showed a very low load of pollen grains of S. bogotensis in the body, and with high investment of time in cleaning its body (grooming). Flowers visited by these flies did not result in fruit. These results suggest that flower flies do not effectively participate in the pollination of S. bogotensis. Other insect visitors that might be responsible for the pollination of S. bogotensis were species of the families Apidae, Halictidae, and Megachilidae. Flower flies feed on the pollen of S. bogotensis but do not interfere with growth and plant development, indicating a commensalistic relationship with S. bogotensis.",Comensalism; Diptera; Flowers flies; Lamiaceae; Polinization; Salvia bogotensis; Syrphidae,Article,,Scopus,2-s2.0-84455190122
Rudin M.,From hemingway to twitterature: The short and shorter of it,2011,Journal of Electronic Publishing,14,2,,,,,3,10.3998/3336451.0014.213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255184113&doi=10.3998%2f3336451.0014.213&partnerID=40&md5=c7b27da2849afa99d2e54979233771ec,,"Rudin, M.","With every status update and tweet, the millions of individuals on social-networking sites are more than staying connected-they are reading, writing, editing, distilling, and interpreting the written word more than any generation in history. In doing so, they are helping develop Fiction 2.0: a fascinating marriage of character-count restrictions and the network effect that has created a new category of short-form content and narrative experimentation. This paper explores five of these new fiction prototypes-twitterature, nanofiction, crowd-sourced narratives, infographics, and $0.00 stories-in order to better understand how the e-age will cross-pollinate foreign concepts like ""install-base"" with familiar ones like ""readership"".",,Article,,Scopus,2-s2.0-84255184113
"Espíndola A., Alvarez N.",Comparative phylogeography in a specific and obligate pollination antagonism,2011,PLoS ONE,6,12, e28662,,,,14,10.1371/journal.pone.0028662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455173244&doi=10.1371%2fjournal.pone.0028662&partnerID=40&md5=d0f0d4221af0da75a1ccb6f7a55c96f0,"Laboratory of Evolutionary Entomology, Institute of Biology, University of Neuchâtel, Neuchâtel, Switzerland; Department of Ecology and Evolution, University of Lausanne, Lausanne, Switzerland","Espíndola, A., Laboratory of Evolutionary Entomology, Institute of Biology, University of Neuchâtel, Neuchâtel, Switzerland; Alvarez, N., Department of Ecology and Evolution, University of Lausanne, Lausanne, Switzerland","In specific and obligate interactions the nature and abundance of a given species can have important effects on the survival and population dynamics of associated organisms. In a phylogeographic framework, we therefore expect that the fates of organisms interacting specifically are also tightly interrelated. Here we investigate such a scenario by analyzing the genetic structures of species interacting in an obligate plant-insect pollination lure-and-trap antagonism, involving Arum maculatum (Araceae) and its specific psychodid (Diptera) visitors Psychoda phalaenoides and Psycha grisescens. Because the interaction is asymmetric (i.e., only the plant depends on the insect), we expect the genetic structure of the plant to be related with the historical pollinator availability, yielding incongruent phylogeographic patterns between the interacting organisms. Using insect mtDNA sequences and plant AFLP genome fingerprinting, we inferred the large-scale phylogeographies of each species and the distribution of genetic diversities throughout the sampled range, and evaluated the congruence in their respective genetic structures using hierarchical analyses of molecular variances (AMOVA). Because the composition of pollinator species varies in Europe, we also examined its association with the spatial genetic structure of the plant. Our findings indicate that while the plant presents a spatially well-defined genetic structure, this is not the case in the insects. Patterns of genetic diversities also show dissimilar distributions among the three interacting species. Phylogeographic histories of the plant and its pollinating insects are thus not congruent, a result that would indicate that plant and insect lineages do not share the same glacial and postglacial histories. However, the genetic structure of the plant can, at least partially, be explained by the type of pollinators available at a regional scale. Differences in life-history traits of available pollinators might therefore have influenced the genetic structure of the plant, the dependent organism, in this antagonistic interaction. © 2011 Espíndola, Alvarez.",,Article,Open Access,Scopus,2-s2.0-84455173244
"Karp D.S., Ziv G., Zook J., Ehrlich P.R., Daily G.C.",Resilience and stability in bird guilds across tropical countryside,2011,Proceedings of the National Academy of Sciences of the United States of America,108,52,,21134,21139,,43,10.1073/pnas.1118276108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855486122&doi=10.1073%2fpnas.1118276108&partnerID=40&md5=42e6b763a5f9f3cbfb33ac01a012112a,"Center for Conservation Biology, Department of Biology, Stanford University, Stanford, CA 94305, United States; Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544, United States; Unión de Ornitólogos de Costa Rica, Apartado 182-4200, Naranjo de Alajuela, Costa Rica","Karp, D.S., Center for Conservation Biology, Department of Biology, Stanford University, Stanford, CA 94305, United States; Ziv, G., Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544, United States; Zook, J., Unión de Ornitólogos de Costa Rica, Apartado 182-4200, Naranjo de Alajuela, Costa Rica; Ehrlich, P.R., Center for Conservation Biology, Department of Biology, Stanford University, Stanford, CA 94305, United States; Daily, G.C., Center for Conservation Biology, Department of Biology, Stanford University, Stanford, CA 94305, United States","The consequences of biodiversity decline in intensified agricultural landscapes hinge on surviving biotic assemblages. Maintaining crucial ecosystem processes and services requires resilience to natural and anthropogenic disturbances. However, the resilience and stability of surviving biological communities remain poorly quantified. From a 10-y dataset comprising 2,880 bird censuses across a land-use gradient, we present three key findings concerning the resilience and stability of Costa Rican bird communities. First, seed dispersing, insect eating, and pollinating guilds were more resilient to low-intensity land use than high-intensity land use. Compared with forest assemblages, bird abundance, species richness, and diversity were all ?15% lower in low-intensity land use and ?50% lower in high-intensity land use. Second, patterns in species richness generally correlated with patterns in stability: guilds exhibited less variation in abundance in low-intensity land use than in high-intensity land use. Finally, interspecific differences in reaction to environmental change (response diversity) and possibly the portfolio effect, but not negative covariance of species abundances, conferred resilience and stability. These findings point to the changes needed in agricultural production practices in the tropics to better sustain bird communities and, possibly, the functional and service roles that they play.",Agriculture; Avian; Compensation; Countryside biogeography; Intensification,Article,,Scopus,2-s2.0-84855486122
"Rieben S., Kalinina O., Schmid B., Zeller S.L.",Gene flow in genetically modified wheat,2011,PLoS ONE,6,12, e29730,,,,22,10.1371/journal.pone.0029730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455173032&doi=10.1371%2fjournal.pone.0029730&partnerID=40&md5=383263b4fe31123f2fd796abe2999f96,"Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland","Rieben, S., Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland; Kalinina, O., Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland; Schmid, B., Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland; Zeller, S.L., Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Zurich, Switzerland","Understanding gene flow in genetically modified (GM) crops is critical to answering questions regarding risk-assessment and the coexistence of GM and non-GM crops. In two field experiments, we tested whether rates of cross-pollination differed between GM and non-GM lines of the predominantly self-pollinating wheat Triticum aestivum. In the first experiment, outcrossing was studied within the field by planting ""phytometers"" of one line into stands of another line. In the second experiment, outcrossing was studied over distances of 0.5-2.5 m from a central patch of pollen donors to adjacent patches of pollen recipients. Cross-pollination and outcrossing was detected when offspring of a pollen recipient without a particular transgene contained this transgene in heterozygous condition. The GM lines had been produced from the varieties Bobwhite or Frisal and contained Pm3b or chitinase/glucanase transgenes, respectively, in homozygous condition. These transgenes increase plant resistance against pathogenic fungi. Although the overall outcrossing rate in the first experiment was only 3.4%, Bobwhite GM lines containing the Pm3b transgene were six times more likely than non-GM control lines to produce outcrossed offspring. There was additional variation in outcrossing rate among the four GM-lines, presumably due to the different transgene insertion events. Among the pollen donors, the Frisal GM line expressing a chitinase transgene caused more outcrossing than the GM line expressing both a chitinase and a glucanase transgene. In the second experiment, outcrossing after cross-pollination declined from 0.7-0.03% over the test distances of 0.5-2.5 m. Our results suggest that pollen-mediated gene flow between GM and non-GM wheat might only be a concern if it occurs within fields, e.g. due to seed contamination. Methodologically our study demonstrates that outcrossing rates between transgenic and other lines within crops can be assessed using a phytometer approach and that gene-flow distances can be efficiently estimated with population-level PCR analyses. © 2011 Rieben et al.",,Article,Open Access,Scopus,2-s2.0-84455173032
"Ma?ka P., Kormu?ák A., Gömöry D.","Deviations from the Hardy-Weinberg equilibrium in selected Slovak populations of Pinus mugo Turra, Pinus sylvestris l. and their putative hybrid swarms",2011,Thaiszia Journal of Botany,21,2,,167,175,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84155181650&partnerID=40&md5=460d940c8751a2f1f0023928e0d2d223,"Arboretum Mlynany SAS, Vieska nad Zitavou 178, 951 52 Slepcany, Slovakia; Institute of Plant Genetics and Biotechnology SAS, Akademicka 2, 949 01 Nitra, Slovakia; Faculty of Forestry, Technical University in Zvolen, Masarykova 24, 960 53 Zvolen, Slovakia","Ma?ka, P., Arboretum Mlynany SAS, Vieska nad Zitavou 178, 951 52 Slepcany, Slovakia; Kormu?ák, A., Institute of Plant Genetics and Biotechnology SAS, Akademicka 2, 949 01 Nitra, Slovakia; Gömöry, D., Faculty of Forestry, Technical University in Zvolen, Masarykova 24, 960 53 Zvolen, Slovakia","Genetic variation of two Pinus mugo Turra populations, one Pinus sylvestris population and four putative hybrid swarms of the species was studied using 12 polymorphic allozyme loci. In all populations studied the relatively high values of fixation indices were found. The causes of this phenomenon vary from population to population. The population of P. sylvestris from Hruštín is characterized by a small population size. We assume that this is the reason for such a high value of the fixation index of the population (0.234). The specific growth and reproductive biology (pollination occurs primarily between the nearest neighbours) of Pinus mugo is probably the cause of high value of fixation index in population Rohá?e (0.290). Putative hybrid swarms is difficult to compare. They have different population sizes and different proportions of the individuals of parent species and their hybrids. Fixation indices in the various putative hybrid swarms vary significantly (0.102-0.235). We assume that a larger portion of hybrids in hybrid swarm means a lower fixation index. Our results indicate that the highest proportion of hybrids should occur at sites Habovka and Terchová.",Fixation index; Isoenzymes; Pinus mugo; Pinus sylvestris; Putative hybrid swarm,Article,,Scopus,2-s2.0-84155181650
"Aguado-Santacruz G.A., Velázquez-Ordinola A., Moreno-Gómez B., Gómez-Torres L.M., Díaz-Espino L.F., Vázquez F.P.G.",Development of long-term and reliable in vitro plant regeneration systems for elite malting barley varieties: Optimizing media formulation and explant selection,2011,African Journal of Biotechnology,10,84,,19522,19533,,7,10.5897/AJB11.1736,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855796680&doi=10.5897%2fAJB11.1736&partnerID=40&md5=fd45e117e589e067b17ed3f71f215a54,"Laboratory of Plant Molecular Physiology, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales,Agrícolas y Pecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Departamento de Ingeniería Química y Ambiental, Universidad Nacional de Colombia, Avenida Carretera 30 No. 45-03, Bogotá, DC, Colombia; Programa de Uso Eficiente de Agua, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales y Agropecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Fundación Guanajuato Produce, Calle Nuevo León 603, Colonia Alameda, Celaya, Guanajuato 38050, Mexico","Aguado-Santacruz, G.A., Laboratory of Plant Molecular Physiology, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales,Agrícolas y Pecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Velázquez-Ordinola, A., Laboratory of Plant Molecular Physiology, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales,Agrícolas y Pecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Moreno-Gómez, B., Laboratory of Plant Molecular Physiology, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales,Agrícolas y Pecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Gómez-Torres, L.M., Departamento de Ingeniería Química y Ambiental, Universidad Nacional de Colombia, Avenida Carretera 30 No. 45-03, Bogotá, DC, Colombia; Díaz-Espino, L.F., Programa de Uso Eficiente de Agua, Campo Experimental Bajío, Instituto Nacional de Investigaciones Forestales y Agropecuarias, Km 6.5 Carretera Celaya-San Miguel de Allende, Celaya, Guanajuato 38110, Mexico; Vázquez, F.P.G., Fundación Guanajuato Produce, Calle Nuevo León 603, Colonia Alameda, Celaya, Guanajuato 38050, Mexico","The response to in vitro tissue culture of five important Mexican malting barley cultivars namely 'Armida', 'Esmeralda', 'Adabella', 'Esperanza' and 'Alina', was evaluated. Callus induction and plant regeneration were evaluated in shoot apices and immature barley embryos harvested eight, 12, 16, 20 and 24 days after pollination. These explants were cultured on 22 media formulations that included Murashige and Skoog (MS) and Chu (N6) media amended with two carbon sources and different concentrations of 2,4-Dichlorophenoxyacetic acid (2,4-D), 3,6-dichloro-2-methoxybenzoic acid (Dicamba), 6-benzyladenine (BA), casein hydrolyzate and L-proline. No regenerable callus lines could be recovered from the experiments using shoot apices as the starting material. Conversely, immature embryos harvested at 12 to 16 days after pollination (1.0 to 1.5 mm long) and cultured on formulations containing the basal MS medium supplemented with 2 mg L-1 of 2,4-D or Dicamba resulted in the production of nodular and friable embryogenic calli with regenerative capacity in all barley cultivars. A medium containing MS, Dicamba and maltose generated the highest percentage of embryogenic calli formation (2.1 in 'Adabella' vs. 23.4 in 'Alina' cultivar) with the maximal regenerative potential (7.2 in 'Armida' vs. 9.1 recovered plants per gram FW callus in 'Esperanza' cultivar). Using this medium, 'Esmeralda' embryogenic callus lines have been maintained for more than five years without loss of regenerability or the capacity for producing normal plants. © 2011 Academic Journals.",Barley; Immature embryos; Plant regeneration; Somatic embryogenesis,Article,,Scopus,2-s2.0-84855796680
"Navrátilová B., Skálová D., Ond?ej V., Kitner M., Lebeda A.",Biotechnological methods utilized in Cucumis research - A review,2011,Horticultural Science,38,4,,150,158,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055182528&partnerID=40&md5=f47bd310f67b6cae4926d151aaf95e5f,"Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic","Navrátilová, B., Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic; Skálová, D., Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic; Ond?ej, V., Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic; Kitner, M., Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic; Lebeda, A., Palacký University in Olomouc, Faculty of Science, Šlechtitelu 11, 783 71 Olomouc, Czech Republic","Our biotechnological research on selected Cucumis species has encompassed interspecific hybridization via embryorescue, in vitro pollination, somatic hybridization and cytogenetics of protoplasts. Embryo-rescue and in vitro pollination are suitable in vitro techniques for production of hybrid embryos. These methods were tested and optimized for cucurbits. Protoplast culture is another valuable tool for biotechnological applications, such as somatic hybridization and genetic transformation. Wc study protoplast dedifferentiation not only as a biotechnological application in breeding systems, but mainly to describe mechanisms of obtaining totipotency. Protoplasts of cucurbits were studied cytogenetically to observe changes in nuclear architecture during protoplastization and regeneration and for comparison with the expression profile obtained using cDNA-AFLP techniques and reverse transcription for the specific genes involved.",Cucumis spp; Expression profile; In vitro biotechnological methods; Interspecific hybridization,Article,,Scopus,2-s2.0-84055182528
