Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
Aston T.J.,Plant-pollinator interactions: A rich area for study,1987,Journal of Biological Education,21,4,,267,274,,1,10.1080/00219266.1987.9654913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023529820&doi=10.1080%2f00219266.1987.9654913&partnerID=40&md5=2ec06500d4e80078f3495f99de0adeff,"Biology Department, Winchester College, Winchester, Hampshire S023 9NA, United Kingdom","Aston, T.J., Biology Department, Winchester College, Winchester, Hampshire S023 9NA, United Kingdom","An adaptive framework is outlined for the study of plants and their pollinators, in which both partners in the ecological relationship are seen as maximizing fitness through efficient use of the other as a resource. Various experimental projects are suggested to examine the validity of these assumptions in specific cases, thus giving an evolutionary slant to the ecological work. Preliminary guidance is offered on methods, and some results are presented which demonstrate the ability of bumblebees to forage efficiently, and illustrate the application of some of the methods discussed. Plant-pollinator interactions provide a wealth of possible studies for biologists at all levels. © 1987, Taylor & Francis Group, LLC. All rights reserved.",,Article,,Scopus,2-s2.0-0023529820
"Wolfe L.M., Barrett S.C.H.",Pollinator foraging behavior and pollen collection on the floral morphs of tristylous Pontederia cordata L.,1987,Oecologia,74,3,,347,351,,35,10.1007/BF00378928,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023527227&doi=10.1007%2fBF00378928&partnerID=40&md5=e9170b50790e2ffacb1a2ec392a97c72,"Department of Botany, University of Toronto, Toronto, M5S 1A1, Ontario, Canada","Wolfe, L.M., Department of Botany, University of Toronto, Toronto, M5S 1A1, Ontario, Canada; Barrett, S.C.H., Department of Botany, University of Toronto, Toronto, M5S 1A1, Ontario, Canada","The foraging behavior of the pollinators of tristylous Pontederia cordata was studied to determine if differences in floral morphology would lead to preferential visitation of the floral morphs. Although nectar production is not different in the three floral morphs, differences in the production and size of pollen grains produced by the three anther levels results in the morphs offering variable amounts of resources to pollen-collecting insects. Bumblebees (Bombus spp.) and the solitary bee Melissodes apicata used P. cordata primarily as a nectar source and therefore did not seem to exhibit any morph preference. In contrast, honeybees visited flowers mainly for pollen and preferred to forage on long-level anthers of the short-and mid-styled morphs. An analysis of the composition of corbicular pollen loads indicated that, relative to the frequency of production in the population: 1) honeybees collected an excess of pollen from long-level anthers; 2) bumblebees collected the three types of pollen without any apparent preference; and 3) M. apicata preferentially collected pollen from the short-level anthers - presumably because their proboscides are modified by the presence of tiny hairs. The results suggest that P. cordata in Ontario is serviced by a diverse, unspecialized pollinator fauna which is not co-adapted to the tristylous floral polymorphism. © 1987 Springer-Verlag.",Behavior; Bombus; Pollination; Pontederia cordata; Tristyly,Article,,Scopus,2-s2.0-0023527227
"Young A.M., Severson D.W.","Comparative analysis of steam distilled floral oils of cacao cultivars (Theobroma cacao L., Sterculiaceae) and attraction of flying insects: Implications for a Theobroma pollination syndrome",1987,Journal of Chemical Ecology,20,10,,2687,2703,,9,10.1007/BF02036201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028252087&doi=10.1007%2fBF02036201&partnerID=40&md5=fe7a9b171b21d3ec6723796254b73793,"Zoology Section, Milwaukee Public Museum, Milwaukee, 53233, Wisconsin, United States; Department of Animal Health and Biomedical Sciences, University of Wisconsin, Madison, 53706, Wisconsin, United States","Young, A.M., Zoology Section, Milwaukee Public Museum, Milwaukee, 53233, Wisconsin, United States; Severson, D.W., Department of Animal Health and Biomedical Sciences, University of Wisconsin, Madison, 53706, Wisconsin, United States","Steam-distilled floral fragrance oils from nine distinctive cultivars of Theobroma cacao L. (Sterculiaceae) in Costa Rica were examined with GC-MS to determine whether or not major differences existed among these cultivars for volatile constituents comprising 50% or more of the samples. The cultivars selected for floral oil analyses were chosen to represent diverse cultivars having supposedly different genetic backgrounds and histories of artificial selection for agronomic purposes. Cluster analysis revealed two major groupings of cultivars: those with higher molecular weight dominant compounds, and those having lower molecular weight compounds. Additionally, one cultivar, Rim-100, selected from criollo or ancestral-type cacao in Mexico and resembling criollo in the appearance of flowers and fruits, formed an extreme group having the highest molecular weight profile for major volatile compounds. Based upon these analyses, bioassays using McPhail traps were performed in an abandoned cacao plantation in northeastern Costa Rica during rainy and dry seasons to determine the relative attraction of these oils to flying insects. Bioassays revealed that the Rim-100 cultivar attracted by far the greatest numbers of cacao-associated midges (Diptera: Ceratopogonidae and Cecidomyiidae), as well as stingless bees (Hymenoptera: Apidae: Meliponinae), suggesting that a floral fragrance having high-molecular-weight volatiles is more potent as an attractant to flying insects than floral oils having lower-molecular-weight compounds. It is suggested that Rim-100 more closely resembles an ancestral or wild-type cacao than the other cultivars examined, and therefore it is more effective in attracting opportunistic dipteran floral visitors and pollinators than other cultivars in plantation settings. Several of the major volatile compounds found in the floral oils of T. cacao and other species of Theobroma occur in mandibular and other exocrine glands in various bees, including stingless bees and halictids, known visitors of Theobroma flowers. These compounds are particularly present in noncultivated species of Theobroma and have much more noticeable fragrances than the seemingly scentless flowers of cultivated T. cacao selected for agriculture. It is hypothesized that the floral attraction system of ancestral or wild (noncultivated)T. cacao and other species of Theobroma may have evolved to attract certain bees as their principal pollinators in natural habitats in the Neotropics, with a floral reward hypothesized as being sociochemicals needed by bees for mating, foraging, territorial defense, etc. Because of the many generations of extensive selection by cloning for desired cultivars, T. cacao might have lost much of its original floral attraction system for bees, instead being pollinated opportunistically by dipterans in plantation habitats. This may help to explain why natural pollination in cultivated T. cacao is generally very poor relative to observed levels of fruit-set in wild or noncultivated species of Theobroma. © 1994 Plenum Publishing Corporation.",1-pentadecene; Apidae; attraction; cacao; Cecidomyiidae; Ceratopogonidae; Diptera; Floral oils; Hymenoptera; n-pentadecene; pollination; Sterculiaceae; Theobroma cacao,Article,,Scopus,2-s2.0-0028252087
"Arbeloa A., Herrero M.",The significance of the obturator in the control of pollen tube entry into the ovary in peach (Prunus persica),1987,Annals of Botany,60,6,,681,685,,42,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001212671&partnerID=40&md5=7974d9f5ef344d778b02184773a7e1e1,"Departamento de Fruticultura, S.I.A.-D.G.A. (INIA), Apartado 727, 50.080 Zaragoza, Spain","Arbeloa, A., Departamento de Fruticultura, S.I.A.-D.G.A. (INIA), Apartado 727, 50.080 Zaragoza, Spain; Herrero, M., Departamento de Fruticultura, S.I.A.-D.G.A. (INIA), Apartado 727, 50.080 Zaragoza, Spain","Changes in the obturator of the peach (Prunus persica) have been investigated and related to pollen tube growth in this region. At anthesis, the cells of the obturator are active and rich in starch reserves. Twelve days after anthesis these cells produce a secretion that stains for carbohydrates and for proteins. As the secretion is produced, starch vanishes from these cells and they degenerate and collapse as callose is accumulated. Secretion is independent of pollination as it takes place in a similar fashion both in pollinated and in unpollinated flowers.Pollen tube growth along the obturator surface depends on this secretion for, although pollen tubes reach the base of the style seven days after pollination, they cannot grow on the obturator until five days later, when the secretion is produced. This discontinuous secretion taking place at the obturator may provide a mechanism that controls the entrance of pollen tubes into the ovary in the peach. © 1987 Annals of Botany Company.",Obturator; Peach; Pollen tube; Prunus persica,Article,,Scopus,2-s2.0-0001212671
"Mutschler M.A., Bush C.N.",Mitochondrial plasmids in related cultivars of crookneck and stable and unstable butternut squash,1987,Theoretical and Applied Genetics,75,1,,211,216,,1,10.1007/BF00249166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250107713&doi=10.1007%2fBF00249166&partnerID=40&md5=fe24db013262e487384a0a5844555663,"Department of Plant Breeding and Biometry, Cornell University, Ithaca, 14850, NY, United States","Mutschler, M.A., Department of Plant Breeding and Biometry, Cornell University, Ithaca, 14850, NY, United States; Bush, C.N., Department of Plant Breeding and Biometry, Cornell University, Ithaca, 14850, NY, United States","Two series of two to four plasmids are contained in mitochondria of butternut squash (Cucurbita moschatd). The plasmids are composed of DNA, and are consistent in number within a cultivar but vary in number among cultivars. Plasmid patterns and homology suggest that the faster migrating series of plasmids are the supercoiled form of the slower running plasmids. Plasmid 1 was present in all cultivars except New Hampshire Butternut. Plasmid 2 was only observed in the original crookneck cultivar, Canada Crookneck. Plasmids 3 and 4 were present in all accessions tested. The presence of plasmid 1 in a cultivar does not follow a maternal pattern of inheritance; this may be due to the ability of the plasmid to insert into and excise from the main mitochondrial DNA, or the recombination of some of the smaller plasmids to create the larger plasmid 1. There is some homology between plasmid 1 and plasmids 3 and 4, and between plasmid 1 and main band mitochondrial DNA. The equal presence of plasmid 1 in mitochondria of F1 seedlings from the pollination of New Hampshire Butternut by Ponca Butternut to that in F1 seedlings of the reciprocal cross indicates that there is probably a dominant nuclear effect on the ability to produce plasmid 1 either by release from the mitochondrial genome or by recombination of the smaller plasmids. There is no obvious relationship between the presence or number of the mitochondrial plasmids and the butternut fruit shape or stability of the butternut trait of the cultivars. © 1987 Springer-Verlag.",Cucurbitamoschata; DNA; Fruit shape; Morphogenesis,Article,,Scopus,2-s2.0-34250107713
"O'Connell M.A., Hanson M.R.",Regeneration of somatic hybrid plants formed between Lycopersicon esculentum and L. pennellii,1987,Theoretical and Applied Genetics,75,1,,83,89,,29,10.1007/BF00249146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0542399735&doi=10.1007%2fBF00249146&partnerID=40&md5=378be0cc8b8c7e52c9e0bd24e1d5d04e,"Plant Genetic Engineering Laboratory and Agronomy and Horticulture Department, New Mexico State University, Las Cruces, 88003, NM, United States; Section of Genetics and Development, Cornell University, Bradfield Hall, Ithaca, 14853, NY, United States","O'Connell, M.A., Plant Genetic Engineering Laboratory and Agronomy and Horticulture Department, New Mexico State University, Las Cruces, 88003, NM, United States; Hanson, M.R., Section of Genetics and Development, Cornell University, Bradfield Hall, Ithaca, 14853, NY, United States","Somatic hybrid plants have been regenerated following polyethylene glycol mediated fusion of leaf mesophyll protoplasts from tomato and protoplasts from Lycopersicon pennellii callus. Three different cultivars of tomato were used as sources of protoplasts: Early Girl, Manapal, and UC82B. Fusions were performed between protoplasts of these tomato cultivars and protoplasts of L. pennellii, and between protoplasts of the cultivars and protoplasts of L. pennellii that had been exposed to 3 or 6 krads of gamma radiation. Somatic hybrid plants were identified on the basis of heterozygous isozyme banding patterns, and leaf and flower morphology. Somatic hybrid plants were regenerated following fusion of tomato protoplasts with either untreated or irradiated L. pennellii protoplasts. All were heterozygous for isozyme loci on five different chromosomes. Regenerated somatic hybrids showed inheritance of either or both parental chloroplast genomes, but predominantly the L. pennellii mitochondrial genome. The regenerated somatic hybrid plants exhibited reduced fertility, less than 20% viable pollen. A total of 34 somatic hybrid calli were identified. Of these, 21 regenerated shoots, and 7 produced seed following manual pollinations. © 1987 Springer-Verlag.",Irradiation; Organelle genome; Protoplast fusion; Somatic hybrid; Tomato,Article,,Scopus,2-s2.0-0542399735
"Pálfi G., Gulyás S.",Supplementary investigations into the range of relation of angiospermous species on the basis of the proline concentration of pollen,1987,Acta Botanica Hungarica,33,03-Apr,,317,324,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951442037&partnerID=40&md5=b6515c99420de1564b2da8a3411ca5ef,"Department of Plant Physiology, Attila József University, P.O.Box 657, Szeged, 6701, Hungary; Department of Botany, Attila József University, P.O.Box 657, Szeged, 6701, Hungary","Pálfi, G., Department of Plant Physiology, Attila József University, P.O.Box 657, Szeged, 6701, Hungary; Gulyás, S., Department of Botany, Attila József University, P.O.Box 657, Szeged, 6701, Hungary","We examined 65 plant species for the free proline concentration of the pollen at the time of pollination. In 49 species the proline content made 1.0-2.5 per cent of the dry matter. They were given the name proline type pollen. In 16 species the proline concentration did not exceed 0.3 per cent (non-proline type pollen). We found that they way of pollination, that is the fact that the species was autogamous entomophilous, and anemophilous plant did not influence the extent of proline accumulation. In the course of studies on species from 30 families of different development stage in the di and monocotyledonous classes of Angiosperms it came to light that the proline type of the pollen was not in connection with these stages of phylogeny. The proline-accumulating capacity of the pollen may he quite different in the species of a family. We detected 6 families in which the pollens of some species were proline type while those of other species were non-proline type. The species of the genera, on the other hand, showed complete uniformity as for the extent of proline accumulation. Thus, the proline type of the pollen can he a chemotaxonomic character mainly in a narrower range of relation.",,Article,,Scopus,2-s2.0-77951442037
Herre E.A.,"Optimality, plasticity and selective regime in fig wasp sex ratios",1987,Nature,329,6140,,627,629,,139,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000262290&partnerID=40&md5=0211c2b57761558b9418e67502279e97,"Smithsonian Tropical Research Institute, PO Box 2072, Balboa, Panama; Department of Biology, University of Iowa, Iowa City, IA 52242, United States","Herre, E.A., Smithsonian Tropical Research Institute, PO Box 2072, Balboa, Panama, Department of Biology, University of Iowa, Iowa City, IA 52242, United States","In thirteen species of fig-pollinating wasps the sex ratios of broods with one or two foundress mothers show qualitative agreement with the optimal sex ratios predicted by local mate competition theory. The deviations from these predictions are not random: for a given number of foundresses, the deviations are least in the wasp species that naturally encounter that number of foundresses most frequently. Furthermore, the difference in sex ratio between broods with one and broods with two foundresses is greatest in those species of wasp in which broods of both type commonly occur. These results show the importance of the selective regime in shaping the evolution of sex-ratio adjustment, and suggest that adaptive behavioural plasticity is more developed in species subject to more variable selective regimes. © 1987 Nature Publishing Group.",,Article,,Scopus,2-s2.0-0000262290
Dukas R.,Foraging behavior of three bee species in a natural mimicry system: female flowers which mimic male flowers in Ecballium elaterium (Cucurbitaceae),1987,Oecologia,74,2,,256,263,,38,10.1007/BF00379368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023527565&doi=10.1007%2fBF00379368&partnerID=40&md5=301f27295d93fedf380350ed67fd2c3f,"Ecology and Evolutionary Biology, Department of Botany, The Hebrew University, Jerusalem, 91904, Israel","Dukas, R., Ecology and Evolutionary Biology, Department of Botany, The Hebrew University, Jerusalem, 91904, Israel","The behavior of Apis mellifera and two species of solitary bees which forage in the flowers of monoecious Ecballium elaterium (L.) A. Rich (Cucurbitaceae) were compared. The female flowers of E. elaterium resemble male flowers visually but are nectarless, and their number is relatively smaller. Apis mellifera was found to discriminate between the two genders and to pay relatively fewer visits to female flowers (mean of 30% relative to male flowers) from the beginning of their activity in the morning. The time spent by honeybees in female flowers is very short compared to that spent in male flowers. It is surmised that the bees remember the differences between the flowers where they foraged on the previous days. In contrast, the two species of solitary bees Lasioglossum politum (Morawitz) (Halictidae) and Ceratina mandibularis Fiese (Anthophoridae) visit the female flowers with nearly equal frequencies at the beginning of each foraging day and stay longer in these flowers. Over the day there is a decline in the relative frequency of visits to female flowers and also in the mean time spent in them. The study shows that bees can collect rewards at high efficiency from the flowers of Ecballium elaterium because of their partial discrimination ability and the scarcity of the mimic flowers. It is suggested that the memory pattern of some solitary bees may be different from that of Apis mellifera. It seems that the limited memory and discrimination ability of bees can lead to a high frequency of visits to the mimic flowers during a long flowering season. © 1987 Springer-Verlag.",Ecballium elaterium; Foraging behavior; Mimicrysolitary bees; Pollination,Article,,Scopus,2-s2.0-0023527565
"Leng X., Ye S.T.",An investigation on in vivo allergenicity of Artemisia annua leaves and stems.,1987,Asian Pacific Journal of Allergy and Immunology,5,2,,125,128,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023464198&partnerID=40&md5=3cdbae86b552fd37036bbf2212fe6129,"Department of Allergy, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Beijing.","Leng, X., Department of Allergy, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Beijing.; Ye, S.T., Department of Allergy, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Beijing.","Pollen of Artemisia annua is considered to be one of the most important allergens in autumnal hay fever in China, just as ragweed is in North America. In order to clarify the allergenicity of non-pollen containing components of the plant, Artemisia annua leaves and stems were collected and extracted before pollination time. The extracts of these pollen-free plant components were studied for allergenic activities using skin prick tests, intradermal tests, intranasal challenge and bronchial provocation tests. In 52 subjects sensitive to Artemisia pollen, 92.3% gave positive responses in skin prick tests, 100% gave positive responses in intradermal tests, 66.7% gave positive responses in intranasal challenge and 59.3% gave positive responses in bronchial provocation tests. Negative results to skin prick tests, intradermal tests and bronchial provocation tests were revealed in 30 seasonal asthmatics who gave negative responses to the pollen skin tests. Strict placebo control showed all negative tests in non-atopic adult human volunteers. We concluded that pollen-free plant extracts did have in vivo allergenic activities. Analysis of the plant allergenic components in vitro will be the subject of further studies.",,Article,,Scopus,2-s2.0-0023464198
